date,prediction,confidence_interval
2025-03-31,312148.78222434164,"[278828.4206758719, 345469.1437728114]"
2025-04-30,329529.593855907,"[243136.86479703087, 415922.3229147831]"
2025-05-31,347081.98415971565,"[172702.5570024442, 521461.4113169871]"
2025-06-30,377046.86811194266,"[79465.58789963077, 674628.1483242546]"
2025-07-31,412032.010048429,"[-49848.19469151413, 873912.2147883722]"
2025-08-31,456578.43457372696,"[-213183.90005596133, 1126340.7692034151]"
2025-09-30,507973.99010841694,"[-417141.4041613645, 1433089.3843781983]"
2025-10-31,567915.0910115661,"[-662780.0273480797, 1798610.209371212]"
2025-11-30,635418.5733249612,"[-954179.4905033837, 2225016.637153306]"
2025-12-31,711129.9523612958,"[-1293346.8526643785, 2715606.7573869703]"
2026-01-31,794704.8129839926,"[-1683318.825452676, 3272728.451420661]"
2026-02-28,886400.4314464851,"[-2126320.5865057083, 3899121.4493986787]"
2026-03-31,986108.3688864835,"[-2624900.17621115, 4597116.913984117]"
2026-04-30,1093942.4723977363,"[-3181262.0584361507, 5369147.003231623]"
2026-05-31,1209881.4810510322,"[-3797685.582285518, 6217448.544387583]"
2026-06-30,1333986.2541653009,"[-4476284.892043947, 7144257.400374549]"
2026-07-31,1466267.7374051455,"[-5219165.27200705, 8151700.746817341]"
2026-08-31,1606767.214542331,"[-6028337.938130109, 9241872.367214771]"
2026-09-30,1755507.5294896578,"[-6905779.805451584, 10416794.8644309]"
2026-10-31,1912522.7341234563,"[-7853404.38275442, 11678449.851001333]"
2026-11-30,2077840.0679877757,"[-8873085.639681375, 13028765.775656926]"
2026-12-31,2251490.9112424855,"[-9966649.03846626, 14469630.86095123]"
2027-01-31,2433504.127332377,"[-11135881.852832213, 16002890.107496966]"
2027-02-28,2623910.1093913163,"[-12382531.26898327, 17630351.4877659]"
