date,prediction,confidence_interval
2025-03-31,1209153.6923195277,"[1173709.7686302573, 1244597.6160087981]"
2025-04-30,1209307.2712369324,"[1156255.445435652, 1262359.0970382127]"
2025-05-31,1209161.6562935296,"[1138731.8244492242, 1279591.488137835]"
2025-06-30,1207313.9922903068,"[1122277.2163714576, 1292350.768209156]"
2025-07-31,1205218.0775193493,"[1107151.3091776127, 1303284.845861086]"
2025-08-31,1202787.7602144289,"[1093164.5277300333, 1312410.9926988245]"
2025-09-30,1200283.7862538712,"[1080212.9060542958, 1320354.6664534465]"
2025-10-31,1197721.4987498778,"[1068123.2055680628, 1327319.7919316927]"
2025-11-30,1195151.3094914795,"[1056773.5180550176, 1333529.1009279415]"
2025-12-31,1192582.081425162,"[1046052.2086416248, 1339111.9542086993]"
2026-01-31,1190024.2001970713,"[1035873.5924905308, 1344174.8079036118]"
2026-02-28,1187480.4838961565,"[1026166.9063160956, 1348794.0614762176]"
2026-03-31,1184953.120838972,"[1016875.6441356093, 1353030.5975423348]"
2026-04-30,1182442.8119150908,"[1007953.4673765044, 1356932.1564536772]"
2026-05-31,1179949.9613952418,"[999362.3199941713, 1360537.6027963124]"
2026-06-30,1177474.6608117986,"[991070.4750608194, 1363878.8465627779]"
2026-07-31,1175016.9091884133,"[983051.2456080357, 1366982.5727687909]"
2026-08-31,1172576.6366423022,"[975281.9308072884, 1369871.342477316]"
2026-09-30,1170153.7483227528,"[967743.0409740303, 1372564.4556714753]"
2026-10-31,1167748.1341203314,"[960417.6908751307, 1375078.577365532]"
2026-11-30,1165359.6780339233,"[953291.1334132343, 1377428.2226546123]"
2026-12-31,1162988.2611099198,"[946350.3926747325, 1379626.129545107]"
2027-01-31,1160633.7635407962,"[939583.9741305434, 1381683.552951049]"
2027-02-28,1158296.0654628226,"[932981.6327150736, 1383610.4982105715]"
