date,prediction,confidence_interval
2025-03-31,219790.07220020687,"[170463.14029129283, 269117.0041091209]"
2025-04-30,220598.85318972383,"[168707.02980844615, 272490.67657100153]"
2025-05-31,222413.87794077344,"[169400.0348550267, 275427.7210265202]"
2025-06-30,223391.3666410927,"[168233.19233657053, 278549.54094561486]"
2025-07-31,225065.96936396704,"[168704.56876252466, 281427.36996540945]"
2025-08-31,226160.33681216973,"[167933.91775312478, 284386.7558712147]"
2025-09-30,227737.65678044842,"[168268.782873431, 287206.53068746586]"
2025-10-31,228912.99647136504,"[167773.38971936447, 290052.6032233656]"
2025-11-30,230422.92007409694,"[168029.54831012123, 292816.29183807265]"
2025-12-31,231654.3563968552,"[167731.0188898303, 295577.69390388014]"
2026-01-31,233117.58857819598,"[167946.9438551966, 298288.2333011954]"
2026-02-28,234387.8879977205,"[167793.12410912878, 300982.65188631223]"
2026-03-31,235818.7729031535,"[167993.96117778483, 303643.58462852216]"
2026-04-30,237115.9962259621,"[167949.41299623763, 306282.57945568656]"
2026-05-31,238524.4713133283,"[168151.27328476222, 308897.6693418944]"
2026-06-30,239840.3472044695,"[168191.46622199356, 311489.22818694543]"
2026-07-31,241233.2970294545,"[168404.40876325802, 314062.18529565097]"
2026-08-31,242562.0952038817,"[168512.06427131302, 316612.1261364504]"
2026-09-30,243944.28930691988,"[168742.1335679132, 319146.44504592655]"
2026-10-31,245282.03988952737,"[168904.86876619354, 321659.2110128612]"
2026-11-30,246656.7825529855,"[169155.4719948978, 324158.09311107325]"
2026-12-31,248000.73526028357,"[169364.25308807992, 326637.21743248723]"
2027-01-31,249370.31565271152,"[169637.08417020837, 329103.54713521467]"
2027-02-28,250718.56512015528,"[169885.19658677548, 331551.9336535351]"
