date,prediction,confidence_interval
2025-03-31,112960.19697036044,"[-21610.215181529726, 247530.6091222506]"
2025-04-30,111880.15767812944,"[-189831.1970269436, 413591.5123832025]"
2025-05-31,110759.44889035508,"[-395392.3693541915, 616911.2671349017]"
2025-06-30,109597.63737408548,"[-633196.5215429447, 852391.7962911157]"
2025-07-31,108394.28989636873,"[-899857.1282539379, 1116645.7080466754]"
2025-08-31,107148.97322425296,"[-1192958.8720062068, 1407256.8184547126]"
2025-09-30,105861.25412478624,"[-1510680.1711438363, 1722402.6793934088]"
2025-10-31,104530.6993650167,"[-1851590.5091875207, 2060651.9079175543]"
2025-11-30,103156.87571199241,"[-2214532.0733774, 2420845.824801385]"
2025-12-31,101739.3499327615,"[-2598545.7229041182, 2802024.422769641]"
2026-01-31,100277.68879437206,"[-3002822.110851534, 3203377.4884402785]"
2026-02-28,98771.45906387221,"[-3426667.989487637, 3624210.9076153813]"
2026-03-31,97220.22750831002,"[-3869482.1523550795, 4063922.6073717]"
2026-04-30,95623.56089473361,"[-4330737.750581936, 4521984.872371403]"
2026-05-31,93981.02599019109,"[-4809968.973206974, 4997931.0251873555]"
2026-06-30,92292.18956173057,"[-5306760.803668894, 5491345.182792354]"
2026-07-31,90556.61837640013,"[-5820740.999514685, 6001854.236267486]"
2026-08-31,88773.8792012479,"[-6351573.714023529, 6529121.472426025]"
2026-09-30,86943.53880332194,"[-6898954.353589517, 7072841.431196162]"
2026-10-31,85065.16394967039,"[-7462605.380815476, 7632735.708714817]"
2026-11-30,83138.32140734133,"[-8042272.852146439, 8208549.494961122]"
2026-12-31,81162.57794338289,"[-8637723.533629145, 8800048.689515911]"
2027-01-31,79137.50032484315,"[-9248742.477141874, 9407017.47779156]"
2027-02-28,77062.65531877022,"[-9875130.967353549, 10029256.27799109]"
