date,prediction,confidence_interval
2025-03-31,139950.6244361141,"[29111.74916629342, 250789.49970593478]"
2025-04-30,150928.2891763394,"[17648.465877288632, 284208.1124753902]"
2025-05-31,161344.64539719626,"[-5963.701450309396, 328652.99224470195]"
2025-06-30,174107.2541805018,"[-24159.558948439633, 372374.06730944326]"
2025-07-31,188272.58922292694,"[-45876.06339108819, 422421.24183694203]"
2025-08-31,204458.94127668973,"[-69153.49029236453, 478071.372845744]"
2025-09-30,222651.2027129676,"[-95879.52981096934, 541181.9352369045]"
2025-10-31,243091.14202532373,"[-126193.15704070046, 612375.441091348]"
2025-11-30,265916.351024483,"[-160768.12194507534, 692600.8239940413]"
2025-12-31,291306.6706066297,"[-199937.36939151533, 782550.7106047748]"
2026-01-31,319424.8074573599,"[-244070.3927177926, 882920.0076325124]"
2026-02-28,350440.41707948764,"[-293442.6793810323, 994323.5135400076]"
2026-03-31,384520.3368675469,"[-348304.76231035066, 1117345.4360454446]"
2026-04-30,421832.5471061533,"[-408867.76632160397, 1252532.8605339106]"
2026-05-31,462544.56457830756,"[-475319.487327858, 1400408.616484473]"
2026-06-30,506824.0940411215,"[-547825.8439259459, 1561474.0320081888]"
2026-07-31,554838.764018388,"[-626536.2825688967, 1736213.8106056727]"
2026-08-31,606756.2339504919,"[-711586.1399535405, 1925098.6078545242]"
2026-09-30,662744.1507395257,"[-803099.1209176637, 2128587.422396715]"
2026-10-31,722970.1663725139,"[-901188.9111963697, 2347129.2439413974]"
2026-11-30,787601.9307742754,"[-1005960.5312233877, 2581164.392771939]"
2026-12-31,856807.0947059618,"[-1117511.3477367903, 2831125.537148714]"
2027-01-31,930753.3085895475,"[-1235931.8931034058, 3097438.5102825006]"
2027-02-28,1009608.2229845613,"[-1361306.5172953662, 3380522.9632644886]"
