date,prediction,confidence_interval
2025-03-31,198790.08467995157,"[55067.10978679097, 342513.0595731122]"
2025-04-30,224104.28611543012,"[67750.67540306592, 380457.8968277943]"
2025-05-31,246972.29006155845,"[76821.7804263529, 417122.799696764]"
2025-06-30,271520.57780712994,"[83532.1492535185, 459509.0063607414]"
2025-07-31,297749.14935214457,"[88130.38888776733, 507367.9098165218]"
2025-08-31,325658.0046966024,"[90965.57732017984, 560350.432073025]"
2025-09-30,355247.1438405034,"[92398.52849181509, 618095.7591891917]"
2025-10-31,386516.5667838476,"[92756.77504866454, 680276.3585190306]"
2025-11-30,419466.2735266349,"[92319.50134389778, 746613.045709372]"
2025-12-31,454096.26406886545,"[91317.82803441805, 816874.7001033128]"
2026-01-31,490406.53841053916,"[89941.08711746428, 890871.989703614]"
2026-02-28,528397.096551656,"[88344.3999732766, 968449.7931300355]"
2026-03-31,568067.938492216,"[86655.64009900799, 1049480.2368854242]"
2026-04-30,609419.0642322192,"[84981.20647653611, 1133856.9219879024]"
2026-05-31,652450.4737716657,"[83410.59317599062, 1221490.354367341]"
2026-06-30,697162.1671105553,"[82019.93042040442, 1312304.4038007064]"
2026-07-31,743554.1442488881,"[80874.70686165895, 1406233.5816361173]"
2026-08-31,791626.4051866641,"[80031.86124437174, 1503220.9491289565]"
2026-09-30,841378.9499238832,"[79541.39559163898, 1603216.5042561274]"
2026-10-31,892811.7784605455,"[79447.62721194059, 1706175.9297091505]"
2026-11-30,945924.8907966509,"[79790.1679401293, 1812059.6136531725]"
2026-12-31,1000718.2869321995,"[80604.69659234607, 1920831.877272053]"
2027-01-31,1057191.9668671913,"[81923.57373613096, 2032460.3599982515]"
2027-02-28,1115345.9306016262,"[83776.33536929393, 2146915.5258339583]"
