date,prediction,confidence_interval
2025-03-31,622418.0616823355,"[603145.6698100923, 641690.4535545786]"
2025-04-30,646750.9508361212,"[606247.7505980859, 687254.1510741565]"
2025-05-31,671027.7911691624,"[604784.1486680924, 737271.4336702323]"
2025-06-30,695380.5570030403,"[599623.6661446879, 791137.4478613927]"
2025-07-31,719789.2486871585,"[591160.5258795416, 848417.9714947753]"
2025-08-31,744256.8970082577,"[579708.7572325688, 908805.0367839466]"
2025-09-30,768783.0426749006,"[565505.2810437081, 972060.8043060931]"
2025-10-31,793367.7552890232,"[548739.8477850806, 1037995.6627929658]"
2025-11-30,818011.0243030098,"[529568.3366543024, 1106453.7119517173]"
2025-12-31,842712.8513152673,"[508121.8187248396, 1177303.8839056948]"
2026-01-31,867473.2360835697,"[484512.48558311915, 1250433.9865840203]"
2026-02-28,892292.1786446245,"[458837.7817203563, 1325746.5755688928]"
2026-03-31,917169.6789928689,"[431183.3719656151, 1403155.9860201227]"
2026-04-30,942105.737129146,"[401625.33619091136, 1482586.1380673805]"
2026-05-31,967100.3530533279,"[370231.83159005514, 1563968.8745166007]"
2026-06-30,992153.5267654341,"[337064.377775908, 1647242.6757549602]"
2026-07-31,1017265.2582654615,"[302178.86796831456, 1732351.6485626085]"
2026-08-31,1042435.5475534108,"[265626.3769931359, 1819244.7181136855]"
2026-09-30,1067664.3946292817,"[227453.81571559026, 1907874.9735429732]"
2026-10-31,1092951.7994930744,"[187704.46748725092, 1998199.131498898]"
2026-11-30,1118297.7621447889,"[146418.43260756275, 2090177.091682015]"
2026-12-31,1143702.282584425,"[103633.0001266055, 2183771.5650422447]"
2027-01-31,1169165.360811983,"[59382.961575497175, 2278947.7600484686]"
2027-02-28,1194686.9968274625,"[13700.877785552526, 2375673.115869372]"
