date,prediction,confidence_interval
2025-03-31,146129.09421023837,"[66037.97165218969, 226220.21676828706]"
2025-04-30,142980.16588331727,"[59264.99416850129, 226695.33759813325]"
2025-05-31,138309.03692857627,"[49761.44459789773, 226856.6292592548]"
2025-06-30,136045.0631996097,"[46185.43778587556, 225904.6886133438]"
2025-07-31,134105.89093363855,"[43397.75886870148, 224814.02299857565]"
2025-08-31,132909.91294935002,"[41861.7777410421, 223958.04815765796]"
2025-09-30,132026.9724190893,"[40800.278074035756, 223253.6667641428]"
2025-10-31,131438.2120009581,"[40130.73798820299, 222745.6860137132]"
2025-11-30,131022.74385560764,"[39675.49562509876, 222369.99208611652]"
2025-12-31,130738.74428350641,"[39372.80709710978, 222104.68146990304]"
2026-01-31,130541.12879587291,"[39166.17414308025, 221916.08344866557]"
2026-02-28,130404.9860694436,"[39025.7439084482, 221784.228230439]"
2026-03-31,130310.66882306262,"[38929.37109456064, 221691.96655156458]"
2026-04-30,130245.53143854815,"[38863.25274039181, 221627.81013670447]"
2026-05-31,130200.46745762767,"[38817.719396240645, 221583.2155190147]"
2026-06-30,130169.32139690689,"[38786.34908482258, 221552.2937089912]"
2026-07-31,130147.78291663458,"[38764.703375491415, 221530.86245777772]"
2026-08-31,130132.89295764419,"[38749.762166502274, 221516.0237487861]"
2026-09-30,130122.5974753192,"[38739.4421830451, 221505.7527675933]"
2026-10-31,130115.47947452607,"[38732.31247064391, 221498.64647840825]"
2026-11-30,130110.5580275672,"[38727.38542505617, 221493.73063007824]"
2026-12-31,130107.15539967277,"[38723.98012090732, 221490.33067843824]"
2027-01-31,130104.80282477569,"[38721.62626667599, 221487.97938287538]"
2027-02-28,130103.17627131355,"[38719.999101660214, 221486.3534409669]"
