date,prediction,confidence_interval
2025-03-31,166024.62821568246,"[138250.35105160176, 193798.90537976316]"
2025-04-30,151099.2919043,"[105870.21444799742, 196328.36936060255]"
2025-05-31,147309.12360411318,"[87151.79255208769, 207466.45465613867]"
2025-06-30,145323.70302571473,"[64052.309610268756, 226595.0964411607]"
2025-07-31,136863.36800840215,"[31052.5756426055, 242674.1603741988]"
2025-08-31,130139.30581277047,"[43.91057158476906, 260234.70105395617]"
2025-09-30,126297.7709698684,"[-30012.52482378381, 282608.0667635206]"
2025-10-31,120580.67210397626,"[-64523.79847118967, 305685.1426791422]"
2025-11-30,114226.43575367678,"[-100822.33686221042, 329275.208369564]"
2025-12-31,109260.92105447146,"[-136912.01692862628, 355433.8590375692]"
2026-01-31,104246.23669956035,"[-174753.56079215993, 383246.03419128066]"
2026-02-28,98673.46452197626,"[-214532.52404920454, 411879.45309315703]"
2026-03-31,93496.93540582672,"[-255052.57331074128, 442046.4441223947]"
2026-04-30,88614.54656057747,"[-296567.17426384584, 473796.26738500077]"
2026-05-31,83563.44505522035,"[-339517.6476233089, 506644.53773374954]"
2026-06-30,78576.86383205994,"[-383528.5470547342, 540682.2747188541]"
2026-07-31,73808.04891266754,"[-428441.2135635912, 576057.3113889262]"
2026-08-31,69074.78407943463,"[-474447.5284917397, 612597.0966506089]"
2026-09-30,64367.04388339676,"[-521498.9756681579, 650233.0634349515]"
2026-10-31,59784.6498620192,"[-569459.6485739758, 689028.9482980142]"
2026-11-30,55294.17339218755,"[-618356.5285957854, 728944.8753801605]"
2026-12-31,50856.02226874168,"[-668203.9216203345, 769915.966157818]"
2027-01-31,46503.14844851706,"[-718938.8941642377, 811945.1910612718]"
2027-02-28,42243.61914944146,"[-770537.406196537, 855024.6444954199]"
