date,prediction,confidence_interval
2025-03-31,157086.01170068764,"[103852.3256814855, 210319.69771988978]"
2025-04-30,153363.1370966875,"[96844.93125345255, 209881.34293992247]"
2025-05-31,150692.21302062675,"[91256.69976395057, 210127.72627730292]"
2025-06-30,148573.06289054503,"[87564.2060435793, 209581.91973751076]"
2025-07-31,146926.86480850817,"[84965.41031887077, 208888.31929814556]"
2025-08-31,145642.55482962888,"[83111.19110691891, 208173.91855233884]"
2025-09-30,144641.46004891177,"[81766.00281349008, 207516.91728433347]"
2025-10-31,143860.98549542355,"[80777.34499058904, 206944.62600025805]"
2025-11-30,143252.53352866182,"[80042.69637283913, 206462.37068448451]"
2025-12-31,142778.18547450285,"[79491.77296517554, 206064.59798383017]"
2026-01-31,142408.38515842357,"[79075.47748796735, 205741.29282887978]"
2026-02-28,142120.08985353835,"[78758.94041271287, 205481.23929436383]"
2026-03-31,141895.33564472978,"[78517.02780037395, 205273.6434890856]"
2026-04-30,141720.11789339036,"[78331.38392477552, 205108.8518620052]"
2026-05-31,141583.51862584235,"[78188.44879080386, 204978.58846088086]"
2026-06-30,141477.02621989424,"[78078.10593335453, 204875.94650643395]"
2026-07-31,141394.00503883738,"[77992.7446707558, 204795.26540691894]"
2026-08-31,141329.2819588875,"[77926.59939746137, 204731.96452031363]"
2026-09-30,141278.82402725064,"[77875.27711241902, 204682.37094208226]"
2026-10-31,141239.4871652372,"[77835.4149265481, 204643.5594039263]"
2026-11-30,141208.82025791725,"[77804.42874433464, 204613.21177149986]"
2026-12-31,141184.91242296467,"[77780.3268638947, 204589.49798203463]"
2027-01-31,141166.27394187637,"[77761.5704477238, 204570.97743602894]"
2027-02-28,141151.74343428464,"[77746.96826262324, 204556.51860594604]"
