date,prediction,confidence_interval
2025-03-31,213517.93361435202,"[80841.33545483346, 346194.5317738706]"
2025-04-30,218702.12733596814,"[28441.73319540042, 408962.5214765358]"
2025-05-31,224054.93803572937,"[-12205.611180337844, 460315.4872517966]"
2025-06-30,229578.7225845168,"[-46998.26218934875, 506155.70735838235]"
2025-07-31,235275.83785321153,"[-78186.19920553928, 548737.8749119623]"
2025-08-31,241148.64071269464,"[-106906.55792377112, 589203.8393491604]"
2025-09-30,247199.4880338472,"[-133825.0345336007, 628224.0106012952]"
2025-10-31,253430.73668755032,"[-159368.98760571273, 666230.4609808134]"
2025-11-30,259844.74354468504,"[-183830.8045973087, 703520.2916866788]"
2025-12-31,266443.8654761325,"[-207420.08810991124, 740307.8190621762]"
2026-01-31,273230.45935277373,"[-230292.55247339868, 776753.4711789461]"
2026-02-28,280206.8820454898,"[-252567.17628482956, 812980.9403758091]"
2026-03-31,287375.4904251619,"[-274336.9530370699, 849087.9338873937]"
2026-04-30,294738.6413626711,"[-295675.93101892114, 885153.2137442634]"
2026-05-31,302298.6917288983,"[-316643.99271475757, 921241.3761725542]"
2026-06-30,310057.9983947248,"[-337290.19927981927, 957406.1960692689]"
2026-07-31,318018.9182310315,"[-357655.1920072214, 993693.0284692844]"
2026-08-31,326183.8081086996,"[-377772.9554220801, 1030140.5716394794]"
2026-09-30,334555.0248986102,"[-397672.1370042418, 1066782.1868014622]"
2026-10-31,343134.9254716444,"[-417377.05199757626, 1103646.9029408651]"
2026-11-30,351925.8666986831,"[-436908.46008332714, 1140760.1934806933]"
2026-12-31,360930.20545060764,"[-456284.173856197, 1178144.5847574123]"
2027-01-31,370150.2985982989,"[-475519.54133147956, 1215820.1385280774]"
2027-02-28,379588.503012638,"[-494627.8327667476, 1253804.8387920237]"
