date,prediction,confidence_interval
2025-03-31,173436.6970202948,"[130131.28491676427, 216742.10912382536]"
2025-04-30,167821.283629827,"[120048.75286672817, 215593.81439292582]"
2025-05-31,163090.14738636225,"[112384.90129797571, 213795.3934747488]"
2025-06-30,159104.03833298033,"[106415.97292382081, 211792.10374213985]"
2025-07-31,155745.63464984793,"[101694.18644130323, 209797.08285839262]"
2025-08-31,152916.0895601801,"[97917.34895593577, 207914.8301644244]"
2025-09-30,150532.12200598902,"[94870.72756041559, 206193.51645156246]"
2025-10-31,148523.56546444868,"[92396.53291350868, 204650.59801538868]"
2025-11-30,146831.3027600037,"[90376.06701227624, 203286.53850773114]"
2025-12-31,145405.52608823555,"[88718.46801133986, 202092.58416513124]"
2026-01-31,144204.27103934827,"[87353.22723240088, 201055.31484629566]"
2026-02-28,143192.18147367478,"[86225.01863881486, 200159.3443085347]"
2026-03-31,142339.46889619678,"[85290.02224038381, 199388.91555200974]"
2026-04-30,141621.03570169455,"[84513.25171015522, 198728.81969323388]"
2026-05-31,141015.73648529357,"[83866.57779359241, 198164.89517699473]"
2026-06-30,140505.75567680728,"[83327.24526536396, 197684.26608825062]"
2026-07-31,140076.08318099484,"[82876.74655075883, 197275.41981123085]"
2026-08-31,139714.07259042838,"[82499.95704022763, 196928.18814062912]"
2026-09-30,139409.06896799614,"[82184.46489709613, 196633.67303889614]"
2026-10-31,139152.0952436882,"[81920.04704819297, 196384.14343918345]"
2026-11-30,138935.5879954854,"[81698.25616527747, 196172.91982569333]"
2026-12-31,138753.17483767873,"[81512.0927079501, 195994.25696740736]"
2027-01-31,138599.4868645637,"[81355.74272857976, 195843.23100054762]"
2027-02-28,138470.00062922732,"[81224.36693950061, 195715.63431895402]"
