date,prediction,confidence_interval
2025-03-31,180837.09208791735,"[118679.10534180238, 242995.07883403232]"
2025-04-30,188494.62320902987,"[124831.41773140748, 252157.82868665227]"
2025-05-31,182689.71197933605,"[118488.43202123442, 246890.99193743768]"
2025-06-30,189055.4523562629,"[123453.63323935965, 254657.27147316613]"
2025-07-31,184404.48396664872,"[118183.91299046067, 250625.05494283678]"
2025-08-31,189711.7886822815,"[122168.6510027205, 257254.92636184252]"
2025-09-30,186003.67318742463,"[117770.41087191198, 254236.9355029373]"
2025-10-31,190443.4914358587,"[120945.66782135473, 259941.3150503627]"
2025-11-30,187505.49870088714,"[117254.91754919535, 257756.07985257893]"
2025-12-31,191234.07989513656,"[119761.81568913367, 262706.34410113946]"
2026-01-31,188924.86875172824,"[116645.10964508612, 261204.62785837037]"
2026-02-28,192070.06825762943,"[118599.91918625722, 265540.21732900164]"
2026-03-31,190273.98241988238,"[115948.55472006717, 264599.41011969757]"
2026-04-30,192940.42139573506,"[117446.94638633268, 268433.89640513744]"
2026-05-31,191562.8219369484,"[115172.30301177035, 267953.34086212644]"
2026-06-30,193836.10951376054,"[116292.9229299918, 271379.2960975293]"
2026-07-31,192799.5555375988,"[114322.70550961992, 271276.4055655777]"
2026-08-31,194749.74373382493,"[115130.1598706051, 274369.32759704476]"
2026-09-30,193990.86710378964,"[113405.3619723918, 274576.3722351875]"
2026-10-31,195675.2779040332,"[113952.69689695771, 277397.8589111087]"
2026-11-30,195142.22590517264,"[112425.14051218945, 277859.3112981558]"
2026-12-31,196607.7645948396,"[112755.89530706835, 280459.6338826108]"
2027-01-31,196258.10732158247,"[111386.23365348655, 281129.9809896784]"
2027-02-28,197543.1554363827,"[111536.13646680719, 283550.17440595815]"
