date,prediction,confidence_interval
2025-03-31,280162.1197353306,"[225917.30020865612, 334406.93926200503]"
2025-04-30,283346.99954337004,"[210699.14563445328, 355994.8534522868]"
2025-05-31,286594.23529105657,"[197577.14321214933, 375611.3273699638]"
2025-06-30,289932.00943233125,"[184940.22886584463, 394923.78999881784]"
2025-07-31,293388.504421135,"[171958.69993220002, 414818.30891007]"
2025-08-31,296991.9027114088,"[158085.42353772194, 435898.3818850956]"
2025-09-30,300770.3867570936,"[142907.46652923623, 458633.30698495096]"
2025-10-31,304752.1390121304,"[126089.20459961778, 483415.073424643]"
2025-11-30,308965.3419304602,"[107346.93962907797, 510583.7442318424]"
2025-12-31,313438.17796602397,"[86435.94951943227, 540440.4064126157]"
2026-01-31,318198.8295727627,"[63142.77817418703, 573254.8809713384]"
2026-02-28,323275.4792046174,"[37279.84844588966, 609271.1099633451]"
2026-03-31,328696.30931552895,"[8681.215978642344, 648711.4026524156]"
2026-04-30,334489.50235943845,"[-22800.989587408258, 691779.9943062852]"
2026-05-31,340683.2407902868,"[-57299.59862666909, 738666.0802072426]"
2026-06-30,347305.7070620151,"[-94934.9737562061, 789546.3878802363]"
2026-07-31,354385.0836285642,"[-135817.16070764774, 844587.3279647762]"
2026-08-31,361949.55294387514,"[-180047.66051378375, 903946.766401534]"
2026-09-30,370027.29746188887,"[-227720.87133259152, 967775.4662563693]"
2026-10-31,378646.49963654636,"[-278925.25045489764, 1036218.2497279904]"
2026-11-30,387835.34192178864,"[-333744.2451225519, 1109414.9289661292]"
2026-12-31,397622.0067715566,"[-392257.03599872516, 1187501.0495418385]"
2027-01-31,408034.6766397914,"[-454539.1309802166, 1270608.4842597994]"
2027-02-28,419101.5339804339,"[-520662.8406533538, 1358865.9086142215]"
