date,prediction,confidence_interval
2025-03-31,171418.06656952927,"[80720.72160722382, 262115.41153183472]"
2025-04-30,173701.47450984022,"[81935.8081087507, 265467.14091092977]"
2025-05-31,175984.88245015117,"[83163.18952839574, 268806.5753719066]"
2025-06-30,178268.29039046212,"[84402.45089767712, 272134.12988324714]"
2025-07-31,180551.69833077307,"[85653.20007864111, 275450.196582905]"
2025-08-31,182835.10627108402,"[86915.06604311857, 278755.1464990495]"
2025-09-30,185118.51421139497,"[88187.69731522347, 282049.3311075665]"
2025-10-31,187401.92215170592,"[89470.7605585555, 285333.08374485635]"
2025-11-30,189685.33009201687,"[90763.9392920066, 288606.72089202714]"
2025-12-31,191968.73803232782,"[92066.93272014653, 291870.5433445091]"
2026-01-31,194252.14597263877,"[93379.45466593483, 295124.8372793427]"
2026-02-28,196535.55391294972,"[94701.23259502566, 298369.87523087376]"
2026-03-31,198818.96185326067,"[96032.00672223823, 301605.91698428313]"
2026-04-30,201102.36979357162,"[97371.52919189022, 304833.21039525303]"
2026-05-31,203385.77773388257,"[98719.5633246662, 308051.99214309896]"
2026-06-30,205669.18567419352,"[100075.88292453678, 311262.4884238503]"
2026-07-31,207952.59361450447,"[101440.2716399776, 314464.91558903136]"
2026-08-31,210236.00155481542,"[102812.52237437788, 317659.48073525296]"
2026-09-30,212519.40949512637,"[104192.43674108644, 320846.3822491663]"
2026-10-31,214802.81743543732,"[105579.82455903274, 324025.8103118419]"
2026-11-30,217086.22537574827,"[106974.50338529104, 327197.9473662055]"
2026-12-31,219369.63331605922,"[108376.29808133282, 330362.9685507856]"
2027-01-31,221653.04125637017,"[109785.04041004695, 333521.0421026934]"
2027-02-28,223936.44919668112,"[111200.56866090142, 336672.3297324608]"
