date,prediction,confidence_interval
2025-03-31,139801.85197552812,"[-19577.214277345047, 299180.9182284013]"
2025-04-30,157564.17359032226,"[-3577.2404514770024, 318705.5876321215]"
2025-05-31,135818.20257290604,"[-29582.697362186154, 301219.10250799824]"
2025-06-30,136336.80065893166,"[-29403.05614242662, 302076.65746028995]"
2025-07-31,131809.1388011761,"[-34201.47474809512, 297819.75235044735]"
2025-08-31,131243.78370501095,"[-34807.1006394217, 297294.66804944363]"
2025-09-30,130200.68453120365,"[-35869.81394641232, 296271.1830088196]"
2025-10-31,129925.41384102951,"[-36149.10094007553, 295999.92862213455]"
2025-11-30,129663.47484176556,"[-36412.5692711928, 295739.51895472396]"
2025-12-31,129566.12170936365,"[-36510.293037504074, 295642.5364562314]"
2026-01-31,129496.1351518631,"[-36580.40396660997, 295572.67427033617]"
2026-02-28,129465.08278887277,"[-36611.48927572236, 295541.6548534679]"
2026-03-31,129445.63161366213,"[-36630.950803674365, 295522.21403099864]"
2026-04-30,129436.15526312024,"[-36640.430028272865, 295512.74055451335]"
2026-05-31,129430.62308541744,"[-36645.96307864916, 295507.209249484]"
2026-06-30,129427.79137238121,"[-36648.795039996854, 295504.3777847593]"
2026-07-31,129426.19758934334,"[-36650.38889709038, 295502.78407577705]"
2026-08-31,129425.36026823569,"[-36651.2262395445, 295501.94677601586]"
2026-09-30,129424.89790044214,"[-36651.68861364476, 295501.48441452906]"
2026-10-31,129424.6516373248,"[-36651.93487859241, 295501.23815324204]"
2026-11-30,129424.5170015341,"[-36652.06951492121, 295501.1035179894]"
2026-12-31,129424.4447748779,"[-36652.14174173413, 295501.03129148996]"
2027-01-31,129424.40549337142,"[-36652.18102328657, 295500.9920100294]"
2027-02-28,129424.38434067744,"[-36652.20217599397, 295500.9708573489]"
