date,prediction,confidence_interval
2025-03-31,202060.23030947114,"[164317.72641253605, 239802.73420640622]"
2025-04-30,208891.24853543346,"[166580.26819386083, 251202.2288770061]"
2025-05-31,211365.03094889253,"[167680.19430614627, 255049.8675916388]"
2025-06-30,214349.40816518466,"[169485.20501550392, 259213.6113148654]"
2025-07-31,215372.7343357726,"[169601.00852750568, 261144.46014403953]"
2025-08-31,217673.0161470221,"[170587.27979528854, 264758.7524987557]"
2025-09-30,218466.6260365978,"[170104.02346955467, 266829.2286036409]"
2025-10-31,220562.25434575335,"[170393.50656268373, 270731.00212882296]"
2025-11-30,221306.47864641005,"[169333.64763459584, 273279.3096582242]"
2025-12-31,223272.85689326946,"[168934.61556380353, 277611.0982227354]"
2026-01-31,223991.7031554419,"[167292.22682619648, 280691.17948468734]"
2026-02-28,225843.19208256068,"[166229.37115188118, 285457.0130132402]"
2026-03-31,226537.3727210094,"[164023.4457599846, 289051.2996820342]"
2026-04-30,228278.9254001029,"[162340.79708499683, 294217.05371520895]"
2026-05-31,228945.86020405492,"[159607.55953800003, 298284.1608701098]"
2026-06-30,230580.80885750952,"[157356.6066336015, 303805.01108141756]"
2026-07-31,231217.61951997955,"[154138.24793503684, 308296.99110492226]"
2026-08-31,232748.86242588054,"[151369.3350379821, 314128.389813779]"
2026-09-30,233352.80868942075,"[147706.89728738228, 318998.7200914592]"
2026-10-31,234783.00275762955,"[144465.0548793326, 325100.9506359265]"
2026-11-30,235351.53461383548,"[140395.1484313369, 330307.92079633405]"
2026-12-31,236683.13730000996,"[136718.86351218383, 336647.4110878361]"
2027-01-31,237213.89039589046,"[132272.7356488256, 342155.0451429553]"
2027-02-28,238449.17799230962,"[128194.21125169101, 348704.14473292825]"
