date,prediction,confidence_interval
2025-03-31,156665.1209754135,"[107803.45231974788, 205526.78963107913]"
2025-04-30,160395.33593660523,"[102489.8632492269, 218300.80862398358]"
2025-05-31,153455.66155393954,"[84969.44111176842, 221941.88199611066]"
2025-06-30,157986.6022389297,"[80263.16856357118, 235710.03591428825]"
2025-07-31,151409.43370164259,"[66138.53072943221, 236680.33667385296]"
2025-08-31,155015.99762510625,"[61719.22224120695, 248312.77300900553]"
2025-09-30,149373.77799667724,"[49559.82146761536, 249187.7345257391]"
2025-10-31,151958.2042558211,"[45086.970759069474, 258829.4377525727]"
2025-11-30,147162.09474321763,"[34338.973539000406, 259985.21594743486]"
2025-12-31,148878.3833021853,"[29687.794874343148, 268068.97173002746]"
2026-01-31,144759.54521919414,"[20003.69043410309, 269515.4000042852]"
2026-02-28,145771.30347234439,"[15149.961739739825, 276392.64520494896]"
2026-03-31,142178.64754454416,"[6283.628065185127, 278073.6670239032]"
2026-04-30,142622.48452152358,"[1240.84663007388, 284004.1224129733]"
2026-05-31,139433.69521377925,"[-6990.108996664785, 285857.4994242233]"
2026-06-30,139418.6239306455,"[-12196.515641893726, 291033.7635031847]"
2026-07-31,136536.75807400804,"[-19930.684394347394, 293004.20054236345]"
2026-08-31,136148.89698830442,"[-25273.68698461569, 297571.48096122453]"
2026-09-30,133497.4911130746,"[-32618.099993465992, 299613.0822196152]"
2026-10-31,132804.71449270615,"[-38073.08008181609, 303682.5090672284]"
2026-11-30,130323.52582932528,"[-45111.33738788031, 305758.3890465309]"
2026-12-31,129379.2999488699,"[-50657.416521558145, 309416.01641929796]"
2027-01-31,127020.87775935499,"[-57455.369820047854, 311497.1253387578]"
2027-02-28,125867.31407468497,"[-63075.576901523935, 314810.2050508939]"
