date,prediction,confidence_interval
2025-03-31,123845.80645161285,"[-58338.51607280181, 306030.1289760275]"
2025-04-30,203983.22580645146,"[-372134.1873454161, 780100.6389583191]"
2025-05-31,330408.06451612874,"[-905226.1285965731, 1566042.2576288306]"
2025-06-30,503116.1290322576,"[-1698225.4156984268, 2704457.6737629417]"
2025-07-31,722103.2258064509,"[-2787014.648479801, 4231221.1000927035]"
2025-08-31,987365.1612903217,"[-4204088.91511526, 6178819.237695903]"
2025-09-30,1298897.7419354827,"[-5979360.242527092, 8577155.726398056]"
2025-10-31,1656696.7741935467,"[-8140687.589231337, 11454081.13761843]"
2025-11-30,2060758.0645161269,"[-10714247.739646323, 14835763.868678577]"
2025-12-31,2511077.4193548365,"[-13724806.714309279, 18746961.553018954]"
2026-01-31,3007650.645161288,"[-17195925.38586639, 23211226.676188968]"
2026-02-28,3550473.5483870944,"[-21150119.63038059, 28251066.72715478]"
2026-03-31,4139541.9354838682,"[-25608987.930115014, 33888071.80108275]"
2026-04-30,4774851.612903222,"[-30593314.9844658, 40143018.210272245]"
2026-05-31,5456398.38709677,"[-36123157.19783272, 47035953.97202626]"
2026-06-30,6184178.064516124,"[-42217914.189267956, 54586270.31830021]"
2026-07-31,6958186.451612898,"[-48896389.3254378, 62812762.22866359]"
2026-08-31,7778419.354838705,"[-56176841.498105004, 71733680.20778242]"
2026-09-30,8644872.580645155,"[-64077029.821299195, 81366774.98258951]"
2026-10-31,9557541.935483864,"[-72614252.53279588, 91729336.40376359]"
2026-11-30,10516423.225806443,"[-81805381.09973814, 102838227.55135103]"
2026-12-31,11521512.258064507,"[-91666890.31696337, 114709914.83309239]"
2027-01-31,12572804.838709667,"[-102214885.02742302, 127360494.70484236]"
2027-02-28,13670296.774193538,"[-113465123.97248372, 140805717.5208708]"
