date,prediction,confidence_interval
2025-03-31,132250.88809295595,"[69318.65413462004, 195183.12205129187]"
2025-04-30,126650.6545464034,"[52563.41438265328, 200737.89471015352]"
2025-05-31,130894.4870936345,"[46587.17176360203, 215201.80242366696]"
2025-06-30,127833.85218931228,"[28049.23870649656, 227618.46567212802]"
2025-07-31,129753.8699408709,"[19568.4464805116, 239939.2934012302]"
2025-08-31,128098.4879993908,"[4163.569859197683, 252033.4061395839]"
2025-09-30,129024.88224734875,"[-6786.79180333417, 264836.5562980317]"
2025-10-31,127954.4660193322,"[-21461.180268357595, 277370.112307022]"
2025-11-30,128362.82109499961,"[-34063.56338473054, 290789.20557472977]"
2025-12-31,127615.15067070622,"[-49023.48690670643, 304253.7882481189]"
2026-01-31,127713.84059123596,"[-63106.63357826375, 318534.31476073567]"
2026-02-28,127152.65124149053,"[-78820.23311039177, 333125.5355933728]"
2026-03-31,127073.67156727948,"[-94351.22698833422, 348498.5701228932]"
2026-04-30,126622.01465123348,"[-111117.20541037398, 364361.23471284093]"
2026-05-31,126448.51034424509,"[-128108.59833390955, 381005.61902239977]"
2026-06-30,126068.40946710714,"[-146130.1446368395, 398266.9635710538]"
2026-07-31,125853.56833825001,"[-164621.46447510316, 416328.60115160316]"
2026-08-31,125529.61881984031,"[-184043.2525971845, 435102.4902368651]"
2026-09-30,125309.7100565365,"[-204086.50103223696, 454705.9211453099]"
2026-10-31,125039.21096526751,"[-225017.76873517432, 475096.1906657093]"
2026-11-30,124840.93688075797,"[-246668.96994082874, 496350.8437023447]"
2026-12-31,124628.40451279856,"[-269196.6694375605, 518453.47846315755]"
2027-01-31,124473.02003515557,"[-292511.724798246, 541457.7648685571]"
2027-02-28,124327.08171877949,"[-316708.15545236366, 565362.3188899226]"
