date,prediction,confidence_interval
2025-03-31,360782.58781167836,"[273976.2225028668, 447588.9531204899]"
2025-04-30,368253.7702858009,"[281190.91740826133, 455316.6231633405]"
2025-05-31,356675.44045831845,"[260990.17819065673, 452360.7027259802]"
2025-06-30,346746.9384923565,"[245187.43631560612, 448306.4406691069]"
2025-07-31,338233.1759068296,"[232562.37048952474, 443903.98132413445]"
2025-08-31,330932.5626208358,"[222337.8996145207, 439527.22562715085]"
2025-09-30,324672.23367506085,"[213976.86537803, 435367.6019720917]"
2025-10-31,319303.9561106956,"[207088.98731132282, 431518.9249100684]"
2025-11-30,314700.61908836284,"[201381.25994352644, 428019.9782331992]"
2025-12-31,310753.2241395912,"[196628.6044334123, 424877.8438457701]"
2026-01-31,307368.30428558245,"[192655.16785196317, 422081.4407192017]"
2026-02-28,304465.7109127991,"[189321.74621708062, 419609.6756085176]"
2026-03-31,301976.71600269875,"[186516.98087755428, 417436.45112784323]"
2026-04-30,299842.3847799395,"[184151.0076263447, 415533.7619335343]"
2026-05-31,298012.18024639087,"[182150.7678492422, 413873.59264353954]"
2026-06-30,296442.76655890734,"[180456.48310147622, 412429.0500163385]"
2026-07-31,295096.98291707307,"[179018.9651357792, 411175.0006983669]"
2026-08-31,293942.9636644866,"[177797.5381442568, 410088.3891847164]"
2026-09-30,292953.3837692182,"[176758.4170263822, 409148.3505120543]"
2026-10-31,292104.8118178192,"[175873.42995903132, 408336.1936766071]"
2026-11-30,291377.1552029828,"[175119.0039052143, 407635.30650075123]"
2026-12-31,290753.1843679319,"[174475.3529326853, 407031.01580317854]"
2027-01-31,290218.1248425243,"[173925.82435877802, 406510.4253262706]"
2027-02-28,289759.3074112479,"[173456.36871383834, 406062.2461086575]"
