date,prediction,confidence_interval
2025-03-31,599566.2378695412,"[441281.465290869, 757851.0104482133]"
2025-04-30,630364.0847145524,"[404395.4951432949, 856332.6742858099]"
2025-05-31,656400.791374456,"[343200.44169441087, 969601.1410545012]"
2025-06-30,662040.4991336671,"[240178.72468264715, 1083902.2735846872]"
2025-07-31,692110.6009854885,"[142676.56229815877, 1241544.6396728181]"
2025-08-31,722913.3830769474,"[43675.83111738821, 1402150.9350365065]"
2025-09-30,752630.7741999951,"[-71896.26579280989, 1577157.8141928]"
2025-10-31,786262.7576131386,"[-195294.70622812852, 1767820.2214544057]"
2025-11-30,827208.9769679278,"[-321651.5405084281, 1976069.4944442837]"
2025-12-31,869410.1869221488,"[-456555.57655257406, 2195375.9503968717]"
2026-01-31,915410.5958390194,"[-599097.9583487725, 2429919.1500268113]"
2026-02-28,966000.5481801066,"[-747102.8093355976, 2679103.905695811]"
2026-03-31,1020663.883658688,"[-901146.0441449413, 2942473.8114623176]"
2026-04-30,1078863.1692141541,"[-1061857.0401654802, 3219583.3785937885]"
2026-05-31,1141486.6354958995,"[-1228362.9030926332, 3511336.1740844324]"
2026-06-30,1208386.2993875258,"[-1400553.340301651, 3817325.9390767026]"
2026-07-31,1279493.5061455998,"[-1578588.2350278692, 4137575.2473190688]"
2026-08-31,1354945.5122732618,"[-1762313.0493844468, 4472204.07393097]"
2026-09-30,1434922.9987284858,"[-1951516.0650754808, 4821362.062532453]"
2026-10-31,1519399.5646488843,"[-2146206.673422791, 5185005.80272056]"
2026-11-30,1608467.142786709,"[-2346322.3923274837, 5563256.677900902]"
2026-12-31,1702226.6708788162,"[-2551759.517885701, 5956212.859643334]"
2027-01-31,1800750.4075665548,"[-2762456.7316756714, 6363957.546808781]"
2027-02-28,1904098.5625664454,"[-2978373.3576525506, 6786570.482785441]"
