date,prediction,confidence_interval
2025-03-31,216613.55317094538,"[173656.51535417268, 259570.59098771808]"
2025-04-30,217462.5813964266,"[169090.3725077717, 265834.7902850815]"
2025-05-31,218519.3017176544,"[164169.15178939624, 272869.45164591254]"
2025-06-30,218454.67764453474,"[158313.15009666453, 278596.205192405]"
2025-07-31,218592.59994802595,"[152915.61060601182, 284269.5892900401]"
2025-08-31,218797.11939741508,"[148060.8074774177, 289533.43131741247]"
2025-09-30,218951.92244122285,"[143354.2859306652, 294549.5589517805]"
2025-10-31,219070.95707859198,"[138804.19783751405, 299337.7163196699]"
2025-11-30,219176.73323764082,"[134404.5113463177, 303948.9551289639]"
2025-12-31,219261.56514970132,"[130122.82181145246, 308400.3084879502]"
2026-01-31,219324.21158003854,"[125935.02103972835, 312713.4021203487]"
2026-02-28,219365.57415235677,"[121826.99572248476, 316904.15258222877]"
2026-03-31,219385.848581247,"[117785.85065748419, 320985.8465050098]"
2026-04-30,219384.8307761935,"[113800.51692871744, 324969.14462366956]"
2026-05-31,219362.5367993983,"[109861.9139615302, 328863.1596372664]"
2026-06-30,219318.9874841094,"[105962.40108005778, 332675.57388816105]"
2026-07-31,219254.18018209917,"[102095.40326957687, 336412.9570946215]"
2026-08-31,219168.11137128054,"[98255.2510668138, 340080.9716757473]"
2026-09-30,219060.78220495628,"[94437.02357522497, 343684.5408346876]"
2026-10-31,218932.19292618363,"[90636.4158769449, 347227.96997542237]"
2026-11-30,218782.34337916897,"[86849.63860569865, 350715.0481526393]"
2026-12-31,218611.2335338077,"[83073.3386435998, 354149.1284240156]"
2027-01-31,218418.86342202703,"[79304.53386459802, 357533.19297945604]"
2027-02-28,218205.23304199122,"[75540.55979399153, 360869.9062899909]"
