date,prediction,confidence_interval
2025-03-31,211065.0758312067,"[168038.12104941503, 254092.03061299835]"
2025-04-30,221235.37689351875,"[142298.86807543365, 300171.88571160386]"
2025-05-31,231468.5424697473,"[91603.14892217357, 371333.9360173211]"
2025-06-30,247301.19805065123,"[23772.78160202119, 470829.6144992813]"
2025-07-31,263978.10765911243,"[-65395.52441414812, 593351.739732373]"
2025-08-31,283797.1977702163,"[-175144.64681659866, 742739.0423570313]"
2025-09-30,306498.4661658834,"[-310633.0839097101, 923630.0162414769]"
2025-10-31,331959.4162305853,"[-469972.3289852531, 1133891.1614464237]"
2025-11-30,359894.6057143178,"[-656751.4860219709, 1376540.6974506066]"
2025-12-31,391086.8763575081,"[-871365.2744247715, 1653539.0271397878]"
2026-01-31,424878.8322386269,"[-1115516.479893093, 1965274.1443703468]"
2026-02-28,461639.91270984214,"[-1390145.0104372497, 2313424.835856934]"
2026-03-31,501368.55533062905,"[-1696826.5195648451, 2699563.630226103]"
2026-04-30,544058.9867703577,"[-2036380.0778688232, 3124498.051409539]"
2026-05-31,589715.6437530224,"[-2410169.2426058995, 3589600.5301119443]"
2026-06-30,638474.2268894534,"[-2819162.246991893, 4096110.7007707995]"
2026-07-31,690269.2437245641,"[-3264477.013433286, 4645015.500882414]"
2026-08-31,745185.2429137508,"[-3747102.9966882467, 5237473.482515749]"
2026-09-30,803252.1633389234,"[-4268084.327373456, 5874588.654051302]"
2026-10-31,864496.3774798667,"[-4828360.237551542, 6557352.992511276]"
2026-11-30,928950.4901264182,"[-5428913.0293817455, 7286814.009634581]"
2026-12-31,996662.6603531385,"[-6070658.6455516415, 8063983.966257918]"
2027-01-31,1067653.0142229376,"[-6754517.270869605, 8889823.29931548]"
2027-02-28,1141963.6678545885,"[-7481375.946752006, 9765303.282461183]"
