date,prediction,confidence_interval
2025-03-31,297892.35476171155,"[278176.72570878494, 317607.98381463817]"
2025-04-30,297037.75256994524,"[274086.5463836937, 319988.9587561968]"
2025-05-31,296269.8514324032,"[270388.28000814316, 322151.42285666324]"
2025-06-30,295499.9966967954,"[266989.94677908486, 324010.04661450593]"
2025-07-31,294737.32615661045,"[263874.28604992945, 325600.36626329145]"
2025-08-31,293982.5857943588,"[260976.36281294475, 326988.80877577286]"
2025-09-30,293235.4515121028,"[258256.1130622527, 328214.7899619529]"
2025-10-31,292495.85325190774,"[255685.4834060317, 329306.2230977838]"
2025-11-30,291763.71892275236,"[253243.42750567116, 330284.01033983356]"
2025-12-31,291038.97272314044,"[250913.72100503946, 331164.2244412414]"
2026-01-31,290321.54006748146,"[248683.52651325738, 331959.55362170556]"
2026-02-28,289611.34716512525,"[246542.46293635387, 332680.2313938966]"
2026-03-31,288908.3209578234,"[244481.98250339445, 333334.65941225237]"
2026-04-30,288212.3891248848,"[242494.93813319824, 333929.84011657134]"
2026-05-31,287523.48007562076,"[240575.2744589629, 334471.6856922786]"
2026-06-30,286841.5229417545,"[238717.8018168909, 334965.2440666181]"
2026-07-31,286166.4475701531,"[236918.0274358089, 335414.8677044973]"
2026-08-31,285498.1845156132,"[235172.02702913905, 335824.34200208733]"
2026-09-30,284836.6650337165,"[233476.3455339744, 336196.98453345854]"
2026-10-31,284181.8210737579,"[231827.91927446783, 336535.7228730479]"
2026-11-30,283533.5852717454,"[230224.01413773402, 336843.1564057568]"
2026-12-31,282891.89094347006,"[228662.17589783735, 337121.60598910274]"
2027-01-31,282256.6720776463,"[227140.18988128938, 337373.15427400323]"
2027-02-28,281627.86332912126,"[225656.04790434058, 337599.678753902]"
