date,prediction,confidence_interval
2025-03-31,129383.15149437063,"[90985.44647620225, 167780.856512539]"
2025-04-30,130520.9246190185,"[85693.48485257584, 175348.36438546114]"
2025-05-31,133465.80204621077,"[83922.2971334683, 183009.30695895324]"
2025-06-30,138416.79491499384,"[83341.17746487887, 193492.4123651088]"
2025-07-31,140226.54815126775,"[78244.67771686809, 202208.41858566742]"
2025-08-31,142810.9180896673,"[74547.20693732631, 211074.62924200832]"
2025-09-30,145915.1691606121,"[71520.51874094634, 220309.81958027786]"
2025-10-31,149186.4396214693,"[68481.68434856419, 229891.1948943744]"
2025-11-30,152291.73228246375,"[65095.04144199363, 239488.4231229339]"
2025-12-31,155537.3991622864,"[61806.07258040884, 249268.72574416397]"
2026-01-31,158936.09185751656,"[58597.60002597833, 259274.58368905477]"
2026-02-28,162434.4925404582,"[55381.11393072161, 269487.8711501948]"
2026-03-31,166008.4129606044,"[52132.80898177842, 279884.0169394304]"
2026-04-30,169684.22743723434,"[48889.54813555295, 290478.9067389157]"
2026-05-31,173465.00942715598,"[45651.785348959485, 301278.23350535246]"
2026-06-30,177344.56794337966,"[42409.804210813425, 312279.3316759459]"
2026-07-31,181320.95051140746,"[39161.82874786106, 323480.0722749538]"
2026-08-31,185396.5775670708,"[35911.41339941337, 334881.7417347282]"
2026-09-30,189571.8390594776,"[32659.088612698135, 346484.5895062571]"
2026-10-31,193846.0762697475,"[29404.32414055147, 358287.82839894353]"
2026-11-30,198219.11874068415,"[26147.50790570688, 370290.7295756614]"
2026-12-31,202691.19707363163,"[22889.57022001216, 382492.8239272511]"
2027-01-31,207262.3537140299,"[19631.20913448371, 394893.49829357606]"
2027-02-28,211932.52109877145,"[16373.043129145983, 407491.9990683969]"
