date,prediction,confidence_interval
2025-03-31,570955.2503418023,"[547685.2316214617, 594225.2690621428]"
2025-04-30,570610.930531806,"[533124.7901486843, 608097.0709149276]"
2025-05-31,562227.4750607307,"[516694.98799825826, 607759.9621232031]"
2025-06-30,564346.6237144144,"[514192.4373374019, 614500.810091427]"
2025-07-31,557912.0971286007,"[503759.650503632, 612064.5437535695]"
2025-08-31,560889.6781480042,"[503952.82005880773, 617826.5362372007]"
2025-09-30,555369.7703040852,"[495621.41996469203, 615118.1206434784]"
2025-10-31,558570.0326368206,"[496686.9804934015, 620453.0847802396]"
2025-11-30,553544.4840068738,"[489355.09363958664, 617733.874374161]"
2025-12-31,556719.1822338408,"[490701.86061834445, 622736.5038493372]"
2026-01-31,552013.7360729976,"[483967.3069951268, 620060.1651508684]"
2026-02-28,555069.3680130237,"[485376.92861751106, 624761.8074085364]"
2026-03-31,550608.4939655955,"[479071.989599034, 622144.998332157]"
2026-04-30,553513.1840978079,"[480458.9801809067, 626567.388014709]"
2026-05-31,549261.1362934972,"[474503.8247608168, 624018.4478261776]"
2026-06-30,552007.3926914018,"[475833.63611933426, 628181.1492634693]"
2026-07-31,547944.6124201878,"[470183.7935896154, 625705.4312507602]"
2026-08-31,550534.4387626174,"[471442.38767369353, 629626.4898515414]"
2026-09-30,546648.0996889018,"[466068.70577772707, 627227.4936000765]"
2026-10-31,549087.0511876424,"[467250.7287726599, 630923.3736026249]"
2026-11-30,545367.2638379487,"[462131.37917304505, 628603.1485028523]"
2026-12-31,547662.0811218648,"[463235.3936070064, 632088.7686367233]"
2027-01-31,544100.3623411863,"[458352.52474003244, 629848.1999423401]"
2027-02-28,546258.0363320694,"[459379.0025494236, 633137.0701147153]"
