date,prediction,confidence_interval
2025-03-01,155.8282703380593,"[140.80834755438093, 170.84819312173767]"
2025-04-01,156.32995692100633,"[140.6126082708599, 172.04730557115275]"
2025-05-01,156.76144943614239,"[140.59224049261263, 172.93065837967214]"
2025-06-01,157.1873062152061,"[140.59370435738344, 173.78090807302874]"
2025-07-01,157.61271051271305,"[140.6064806493505, 174.6189403760756]"
2025-08-01,158.0380784814146,"[140.62909026186526, 175.44706670096394]"
2025-09-01,158.46344353335172,"[140.66081368855427, 176.26607337814917]"
2025-10-01,158.88880835110788,"[140.70105513002267, 177.0765615721931]"
2025-11-01,159.31417315006215,"[140.74928415476853, 177.87906214535576]"
2025-12-01,159.73953794750685,"[140.80502344487243, 178.67405245014126]"
2026-01-01,160.16490274483033,"[140.86784142755596, 179.4619640621047]"
2026-02-01,160.5902675421441,"[140.93734634670955, 180.24318873757863]"
2026-03-01,161.01563233945706,"[141.0131813010167, 181.01808337789743]"
2026-04-01,161.44099713676997,"[141.0950200509566, 181.78697422258332]"
2026-05-01,161.86636193408287,"[141.1825634529605, 182.55016041520526]"
2026-06-01,162.29172673139578,"[141.27553640967193, 183.30791705311964]"
2026-07-01,162.7170915287087,"[141.3736852478416, 184.0604978095758]"
2026-08-01,163.1424563260216,"[141.4767754527743, 184.8081371992689]"
2026-09-01,163.5678211233345,"[141.58458970180249, 185.55105254486654]"
2026-10-01,163.99318592064742,"[141.6969261499175, 186.28944569137735]"
2026-11-01,164.41855071796033,"[141.81359692913102, 187.02350450678964]"
2026-12-01,164.84391551527324,"[141.93442682987595, 187.75340420067053]"
2027-01-01,165.26928031258615,"[142.05925213816153, 188.47930848701077]"
2027-02-01,165.69464510989906,"[142.1879196065708, 189.2013706132273]"
