date,prediction,confidence_interval
2025-03-01,116.59667524034973,"[101.62056659429831, 131.57278388640114]"
2025-04-01,115.77923595930596,"[99.54544984657423, 132.0130220720377]"
2025-05-01,115.49428199173852,"[98.1356463954434, 132.85291758803362]"
2025-06-01,115.42143518873753,"[97.5981312190408, 133.24473915843427]"
2025-07-01,115.34873742768046,"[97.07440370837367, 133.62307114698726]"
2025-08-01,115.27618840363284,"[96.5634700442344, 133.98890676303128]"
2025-09-01,115.20378781228409,"[96.06445389000935, 134.34312173455885]"
2025-10-01,115.13153534994622,"[95.57657772804299, 134.68649297184945]"
2025-11-01,115.0594307135526,"[95.09914784861678, 135.01971357848842]"
2025-12-01,114.98747360065666,"[94.63154215356755, 135.34340504774576]"
2026-01-01,114.91566370943062,"[94.17320015478606, 135.65812726407518]"
2026-02-01,114.84400073866422,"[93.72361470298658, 135.96438677434188]"
2026-03-01,114.77248438776348,"[93.28232509411866, 136.2626436814083]"
2026-04-01,114.70111435674941,"[92.84891128273438, 136.55331743076445]"
2026-05-01,114.62989034625679,"[92.42298899234467, 136.8367917001689]"
2026-06-01,114.55881205753286,"[92.00420555832243, 137.1134185567433]"
2026-07-01,114.48787919243613,"[91.59223637340799, 137.38352201146427]"
2026-08-01,114.41709145343505,"[91.1867818322784, 137.6474010745917]"
2026-09-01,114.34644854360685,"[90.78756469204117, 137.90533239517254]"
2026-10-01,114.27595016663626,"[90.39432778141028, 138.15757255186224]"
2026-11-01,114.20559602681422,"[90.00683200381037, 138.40436004981808]"
2026-12-01,114.13538582903671,"[89.62485458954112, 138.6459170685323]"
2027-01-01,114.06531927880347,"[89.24818756001405, 138.8824509975929]"
2027-02-01,113.99539608221679,"[88.87663637339982, 139.11415579103374]"
