date,prediction,confidence_interval
2025-03-01,86.16765706193539,"[29.214456755272508, 143.12085736859825]"
2025-04-01,68.52139693995048,"[-59.15416920070112, 196.19696308060207]"
2025-05-01,50.57954220138141,"[-163.58458374853188, 264.7436681512947]"
2025-06-01,32.34074667650434,"[-281.9163690227279, 346.5978623757366]"
2025-07-01,13.803664195595378,"[-412.7137614231054, 440.32108981429616]"
2025-08-01,-5.033051411069329,"[-554.9524735205338, 544.8863706983951]"
2025-09-01,-24.170746313213638,"[-707.8598177028969, 659.5183250764696]"
2025-10-01,-43.61076668056141,"[-870.828856615791, 783.6073232546682]"
2025-11-01,-63.354458682836515,"[-1043.3682603769898, 916.6593430113169]"
2025-12-01,-83.4031684897628,"[-1225.0709398888162, 1058.2646029092907]"
2026-01-01,-103.75824227106415,"[-1415.5933350405783, 1208.07685049845]"
2026-02-01,-124.42102619646442,"[-1614.6411349899595, 1365.7990825970305]"
2026-03-01,-145.3928664356875,"[-1821.9590812062377, 1531.1733483348628]"
2026-04-01,-166.67510915845716,"[-2037.3234712740389, 1703.9732529571245]"
2026-05-01,-188.26910053449737,"[-2260.536511894836, 1883.9983108258416]"
2026-06-01,-210.17618673353195,"[-2491.4219754907917, 2071.0696020237283]"
2026-07-01,-232.39771392528476,"[-2729.821799038186, 2265.0263711876164]"
2026-08-01,-254.93502827947967,"[-2975.5933788289944, 2465.7233222700347]"
2026-09-01,-277.7894759658405,"[-3228.6073890581383, 2673.028437126457]"
2026-10-01,-300.96240315409125,"[-3488.7460013247946, 2886.8211950166124]"
2026-11-01,-324.4551560139556,"[-3755.9014155548966, 3106.991103526985]"
2026-12-01,-348.2690807151576,"[-4029.9746360532813, 3333.436474622966]"
2027-01-01,-372.4055234274209,"[-4310.874442816923, 3566.0633959620814]"
2027-02-01,-396.86583032046957,"[-4598.516520069691, 3804.784859428752]"
