date,prediction,confidence_interval
2025-03-01,191.5415384500553,"[171.09201697826066, 211.99105992184994]"
2025-04-01,190.69118299002514,"[167.5597099619705, 213.82265601807978]"
2025-05-01,189.6925566366587,"[164.273903032214, 215.1112102411034]"
2025-06-01,189.13998642048304,"[162.16225286095633, 216.11771998000975]"
2025-07-01,188.71522062057755,"[160.43481484196712, 216.99562639918798]"
2025-08-01,188.39798264692038,"[158.9890555479191, 217.80690974592167]"
2025-09-01,188.1354644234929,"[157.70046616934005, 218.57046267764574]"
2025-10-01,187.9071014895011,"[156.51693246035816, 219.297270518644]"
2025-11-01,187.69838809207266,"[155.40438985862517, 219.99238632552016]"
2025-12-01,187.50150548197757,"[154.34381203234705, 220.6591989316081]"
2026-01-01,187.31174382807063,"[153.32340436502932, 221.30008329111195]"
2026-02-01,187.12639855032617,"[152.33583346011335, 221.916963640539]"
2026-03-01,186.94388426026617,"[151.37629157634353, 222.51147694418881]"
2026-04-01,186.76327929355028,"[150.44148926284942, 223.08506932425115]"
2026-05-01,186.58404547560554,"[149.5290528053575, 223.63903814585356]"
2026-06-01,186.40586867773294,"[148.6371798018884, 224.17455755357747]"
2026-07-01,186.22856504825756,"[147.76443520840996, 224.69269488810517]"
2026-08-01,186.0520266427418,"[146.9096300184975, 225.1944232669861]"
2026-09-01,185.87618970808427,"[146.07174744641605, 225.68063196975248]"
2026-10-01,185.70101622905798,"[145.24989701287157, 226.1521354452444]"
2026-11-01,185.52648317960876,"[144.4432851056173, 226.60968125360023]"
2026-12-01,185.3525762649232,"[143.65119542456688, 227.0539571052795]"
2027-01-01,185.17928627730493,"[142.87297545808786, 227.48559709652199]"
2027-02-01,185.00660697430246,"[142.1080267253936, 227.90518722321133]"
