date,prediction,confidence_interval
2025-03-01,164.98489951906254,"[122.1476797260326, 207.82211931209247]"
2025-04-01,179.6422210769582,"[106.7025952370541, 252.58184691686233]"
2025-05-01,188.38618457253224,"[71.13722086930687, 305.6351482757576]"
2025-06-01,200.89061114988408,"[37.174304823666006, 364.6069174761021]"
2025-07-01,211.13964158677874,"[-6.321381653631789, 428.60066482718923]"
2025-08-01,222.87435829963283,"[-51.93158581266346, 497.6803024119291]"
2025-09-01,233.7682943401021,"[-103.4119541498456, 570.9485428300497]"
2025-10-01,245.26820972555143,"[-157.99267261647864, 648.5290920675815]"
2025-11-01,256.47440779390905,"[-216.9308408711854, 729.8796564590035]"
2025-12-01,267.94638291468164,"[-279.11606881449234, 815.0088346438556]"
2026-01-01,279.33620232040863,"[-344.9294612576884, 903.6018658985056]"
2026-02-01,290.8602349636132,"[-413.8829131885282, 995.6033831157547]"
2026-03-01,302.3839274822833,"[-486.05146416311834, 1090.819319127685]"
2026-04-01,313.9909545765902,"[-561.1909227325079, 1189.1728318856883]"
2026-05-01,325.62928146015577,"[-639.2740262181555, 1290.532589138467]"
2026-06-01,337.33126700594727,"[-720.1578466717674, 1394.8203806836618]"
2026-07-01,349.0767882014073,"[-803.785437154161, 1501.9390135569754]"
2026-08-01,360.87835894449495,"[-890.0596044113072, 1611.816322300297]"
2026-09-01,372.72819721739927,"[-978.9188782581917, 1724.3752726929902]"
2026-10-01,384.63114242359063,"[-1070.289266218494, 1839.551551065675]"
2026-11-01,396.5841850831992,"[-1164.1128223165997, 1957.281192482998]"
2026-12-01,408.58919670149254,"[-1260.329034679612, 2077.507428082597]"
2027-01-01,420.64501344547693,"[-1358.8854866888134, 2200.1755135797675]"
2027-02-01,432.7523590679843,"[-1459.7305689427808, 2325.2352870787495]"
