date,prediction,confidence_interval
2025-03-01,293.81433291381506,"[259.63965453759414, 327.989011290036]"
2025-04-01,294.6620916292629,"[254.65292875363394, 334.6712545048918]"
2025-05-01,298.4239656949074,"[250.52533245160575, 346.322598938209]"
2025-06-01,301.0582863935366,"[247.3256065120369, 354.79096627503634]"
2025-07-01,304.17182503641914,"[244.758748772878, 363.5849012999603]"
2025-08-01,307.12580733814127,"[242.60317361366367, 371.6484410626189]"
2025-09-01,310.17417895036124,"[240.81412212182113, 379.53423577890135]"
2025-10-01,313.21598340775364,"[239.30157720772672, 387.13038960778056]"
2025-11-01,316.29135610080243,"[238.03187672072073, 394.55083548088413]"
2025-12-01,319.3843411463048,"[236.9652040884709, 401.8034782041387]"
2026-01-01,322.5012818289706,"[236.07759904448687, 408.92496461345434]"
2026-02-01,325.6396563666836,"[235.34724923021002, 415.93206350315717]"
2026-03-01,328.8004672976133,"[234.75787509438953, 422.84305950083706]"
2026-04-01,331.9833160612437,"[234.2956246442983, 429.67100747818915]"
2026-05-01,335.1883611058911,"[233.94922787836427, 436.42749433341794]"
2026-06-01,338.4155394401956,"[233.70912108584812, 443.12195779454305]"
2026-07-01,341.6648761064643,"[233.56721935919467, 449.76253285373394]"
2026-08-01,344.9363611490915,"[233.51657317540352, 456.35614912277947]"
2026-09-01,348.22999852594285,"[233.5511786855203, 462.9088183663654]"
2026-10-01,351.545786663563,"[233.66580133176177, 469.4257719953642]"
2026-11-01,354.8837261874814,"[233.85584971023522, 475.9116026647275]"
2026-12-01,358.24381684901795,"[234.11727042931074, 482.37036326872516]"
2027-01-01,361.6260587470358,"[234.44646573087016, 488.80565176320147]"
2027-02-01,365.03045184223174,"[234.84022584653377, 495.2206778379297]"
