date,prediction,confidence_interval
2025-03-01,368.43039094956123,"[355.4458191413223, 381.41496275780014]"
2025-04-01,369.417471595011,"[354.3873372776401, 384.44760591238196]"
2025-05-01,371.383315014991,"[353.9401264155578, 388.8265036144242]"
2025-06-01,372.18230311200335,"[352.3546460021048, 392.0099602219019]"
2025-07-01,374.1245998997417,"[352.16214232932685, 396.0870574701566]"
2025-08-01,374.93621644923417,"[350.9476617226828, 398.9247711757855]"
2025-09-01,376.8600741914908,"[351.0474795257221, 402.6726688572595]"
2025-10-01,377.68767652346,"[350.1204145588433, 405.25493848807673]"
2025-11-01,379.594971155692,"[350.42212397111047, 408.76781834027355]"
2025-12-01,380.43858509017906,"[349.7015743765061, 411.17559580385205]"
2026-01-01,382.329993011286,"[350.14406057177484, 414.5159254507971]"
2026-02-01,383.18921433795384,"[349.57944471859537, 416.7989839573123]"
2026-03-01,385.06523164182653,"[350.1248749287222, 420.00558835493086]"
2026-04-01,385.9396082347158,"[349.68391267382975, 422.1953037956019]"
2026-05-01,387.8006939691595,"[350.3077073468379, 425.2936805914811]"
2026-06-01,388.6897787263777,"[349.9685282666565, 427.4110291860989]"
2026-07-01,390.53637523477573,"[350.6538112117054, 430.4189392578461]"
2026-08-01,391.43973311878574,"[350.4007853255569, 432.47868091201457]"
2026-09-01,393.2722692197637,"[351.13543378919496, 435.40910465033244]"
2026-10-01,394.1894779034832,"[350.9569049311068, 437.42205087585955]"
2026-11-01,396.0083696658135,"[351.73189726341974, 440.2848420682073]"
2026-12-01,396.9390192964664,"[351.6188734379394, 442.25916515499347]"
2027-01-01,398.74467046862924,"[352.42730579966906, 445.0620351375894]"
2027-02-01,399.6883633181504,"[352.37265762178254, 447.0040690145182]"
