date,prediction,confidence_interval
2025-03-01,112.13008371578258,"[76.03741443134096, 148.2227530002242]"
2025-04-01,113.74438133103877,"[77.64010072350828, 149.84866193856925]"
2025-05-01,115.38543999578665,"[79.26690632184321, 151.5039736697301]"
2025-06-01,117.05348438939325,"[80.91782809738322, 153.18914068140327]"
2025-07-01,118.74873919122548,"[82.59285786955041, 154.90462051290055]"
2025-08-01,120.47142908065034,"[84.29198256524445, 156.6508755960562]"
2025-09-01,122.22177873703475,"[86.01518439902031, 158.4283730750492]"
2025-10-01,124.00001283974571,"[87.76244107503287, 160.23758460445856]"
2025-11-01,125.80635606815017,"[89.53372601132054, 162.0789861249798]"
2025-12-01,127.64103310161506,"[91.32900858687461, 163.95305761635552]"
2026-01-01,129.50426861950737,"[93.1482544117978, 165.86028282721696]"
2026-02-01,131.3962873011941,"[94.99142562069545, 167.80114898169273]"
2026-03-01,133.31731382604212,"[96.85848118926694, 169.7761464628173]"
2026-04-01,135.26757287341846,"[98.74937727387268, 171.78576847296424]"
2026-05-01,137.24728912269006,"[100.66406757364595, 173.83051067173417]"
2026-06-01,139.2566872532239,"[102.60250371449963, 175.91087079194818]"
2026-07-01,141.29599194438694,"[104.5646356541489, 178.02734823462498]"
2026-08-01,143.36542787554612,"[106.55041210703274, 180.1804436440595]"
2026-09-01,145.46521972606837,"[108.55978098777501, 182.37065846436172]"
2026-10-01,147.59559217532075,"[110.5926898715807, 184.59849447906078]"
2026-11-01,149.75676990267013,"[112.64908646972049, 186.86445333561977]"
2026-12-01,151.9489775874835,"[114.72891911802103, 189.169036056946]"
2027-01-01,154.17243990912783,"[116.83213727605025, 191.51274254220542]"
2027-02-01,156.4273815469701,"[118.95869203447654, 193.89607105946368]"
