date,prediction,confidence_interval
2025-03-01,91.22393491381385,"[66.3147019200474, 116.1331679075803]"
2025-04-01,85.3663567559853,"[54.47009427341375, 116.26261923855684]"
2025-05-01,81.06800532775188,"[47.385824091929756, 114.750186563574]"
2025-06-01,77.91383059840514,"[42.822991322701974, 113.00466987410832]"
2025-07-01,75.59926456318023,"[39.77282939235561, 111.42569973400484]"
2025-08-01,73.9008120704972,"[37.68446319372285, 110.11716094727154]"
2025-09-01,72.65447006685639,"[36.2298902513899, 109.07904988232289]"
2025-10-01,71.73989141556568,"[35.20367547887999, 108.27610735225137]"
2025-11-01,71.06876414315306,"[34.47257571318155, 107.66495257312457]"
2025-12-01,70.5762840102084,"[33.94784240871556, 107.20472561170124]"
2026-01-01,70.21489699568087,"[33.5690995416711, 106.86069444969064]"
2026-02-01,69.94970746714452,"[33.29456767899684, 106.6048472552922]"
2026-03-01,69.75510864865272,"[33.094939208833765, 106.41527808847168]"
2026-04-01,69.61231002320393,"[32.949432514347826, 106.27518753206004]"
2026-05-01,69.5075229151007,"[32.84318725453437, 106.17185857566702]"
2026-06-01,69.43062905152091,"[32.76550823291651, 106.0957498701253]"
2026-07-01,69.37420353922982,"[32.708659937560334, 106.03974714089932]"
2026-08-01,69.3327979147874,"[32.66702665591971, 105.9985691736551]"
2026-09-01,69.30241403937617,"[32.63652019278834, 105.96830788596401]"
2026-10-01,69.28011803738522,"[32.61415818022372, 105.94607789454673]"
2026-11-01,69.26375700055063,"[32.59776159822192, 105.92975240287933]"
2026-12-01,69.2517511025241,"[32.58573655993273, 105.91776564511547]"
2027-01-01,69.24294105039348,"[32.57691620120322, 105.90896589958375]"
2027-02-01,69.23647614303108,"[32.5704457439692, 105.90250654209296]"
