date,prediction,confidence_interval
2025-03-01,251.83066586398525,"[232.65077630377985, 271.01055542419067]"
2025-04-01,283.93721772559456,"[241.37362406323965, 326.5008113879495]"
2025-05-01,324.4047214640457,"[246.27576501846556, 402.5336779096258]"
2025-06-01,375.0063923064646,"[245.28467662928176, 504.7281079836474]"
2025-07-01,430.37414683552754,"[235.71643394786278, 625.0318597231923]"
2025-08-01,495.03855332423285,"[218.56135884428807, 771.5157478041776]"
2025-09-01,567.4830888813201,"[191.42561231910713, 943.5405654435331]"
2025-10-01,646.7545807650814,"[153.16083008481246, 1140.3483314453504]"
2025-11-01,734.7457027178443,"[103.69525484435576, 1365.796150591333]"
2025-12-01,830.1308973141114,"[41.20562674903215, 1619.0561678791905]"
2026-01-01,933.2542398348046,"[-34.8506601701074, 1901.3591398397166]"
2026-02-01,1044.5786385853396,"[-125.16827626437316, 2214.3255534350524]"
2026-03-01,1163.5016861937684,"[-230.9527152754722, 2557.956087663009]"
2026-04-01,1290.4392225166944,"[-352.70741056554994, 2933.585855598939]"
2026-05-01,1425.372067818826,"[-491.2785188959449, 3342.0226545335972]"
2026-06-01,1568.148429441789,"[-647.5020560544974, 3783.7989149380755]"
2026-07-01,1718.9976532252367,"[-821.9611209560626, 4259.956427406536]"
2026-08-01,1877.8357398149758,"[-1015.4460355721878, 4771.11751520214]"
2026-09-01,2044.6824103319052,"[-1228.6285849199774, 5317.9934055837875]"
2026-10-01,2219.6289127992363,"[-1462.133137285894, 5901.390962884367]"
2026-11-01,2402.6349587769296,"[-1716.6557956861066, 6521.925713239965]"
2026-12-01,2593.753831495557,"[-1992.804617778234, 7180.312280769347]"
2027-01-01,2793.0178624280065,"[-2291.197241968773, 7877.232966824786]"
2027-02-01,3000.427812719343,"[-2612.4554940609796, 8613.311119499665]"
