date,prediction,confidence_interval
2025-03-01,267.1472230477693,"[257.6189409156431, 276.6755051798954]"
2025-04-01,267.1116728993204,"[248.8331732904266, 285.3901725082142]"
2025-05-01,265.3231350609966,"[233.99674275527815, 296.64952736671506]"
2025-06-01,258.34618990762067,"[208.1606900059829, 308.53168980925847]"
2025-07-01,256.7908823655518,"[182.6627349304528, 330.9190298006508]"
2025-08-01,251.92598905445317,"[149.08858864963685, 354.7633894592695]"
2025-09-01,245.51597604815552,"[107.42342334430461, 383.60852875200646]"
2025-10-01,239.98875444892474,"[60.482817363392826, 419.49469153445665]"
2025-11-01,233.98787477213395,"[6.762582386927136, 461.21316715734076]"
2025-12-01,225.8906239822716,"[-56.06753936478353, 507.8487873293267]"
2026-01-01,218.2984723523335,"[-125.64227920786905, 562.2392239125361]"
2026-02-01,210.0411013943771,"[-203.16872272164306, 623.2509255103973]"
2026-03-01,200.56661897842034,"[-289.70021724157493, 690.8334551984155]"
2026-04-01,190.73490275139918,"[-384.6213277654241, 766.0911332682225]"
2026-05-01,180.48945576208192,"[-488.14169959265917, 849.1206111168229]"
2026-06-01,169.1948990078877,"[-601.2122346543747, 939.60203267015]"
2026-07-01,157.38015740155714,"[-723.5740712494044, 1038.3343860525185]"
2026-08-01,145.03327668416702,"[-855.4120329433447, 1145.4785863116788]"
2026-09-01,131.8591508795117,"[-997.2778068920337, 1260.996108651057]"
2026-10-01,118.02204545965468,"[-1149.2493485742573, 1385.2934394935667]"
2026-11-01,103.61320670467735,"[-1311.4282417353709, 1518.6546551447257]"
2026-12-01,88.44532880015484,"[-1484.22035904269, 1661.1110166429996]"
2027-01-01,72.58548725394644,"[-1667.7819184764096, 1812.9528929843025]"
2027-02-01,56.09277975826436,"[-1862.2469416906638, 1974.4325012071927]"
