date,prediction,confidence_interval
2025-03-01,176.39087094293822,"[155.8319742101421, 196.94976767573434]"
2025-04-01,177.024434635402,"[155.41715749289983, 198.63171177790417]"
2025-05-01,176.16053983263728,"[153.2834555166454, 199.03762414862916]"
2025-06-01,176.71467484005237,"[152.85882781154024, 200.5705218685645]"
2025-07-01,175.95098914637384,"[150.96402100433104, 200.93795728841664]"
2025-08-01,176.41285969361502,"[150.52210623745626, 202.30361314977378]"
2025-09-01,175.7360027772326,"[148.82007492961446, 202.65193062485076]"
2025-10-01,176.11821650698866,"[148.35844204509868, 203.87799096887863]"
2025-11-01,175.51646279313303,"[146.81573143941318, 204.21719414685288]"
2025-12-01,175.82991510392478,"[146.33499604695925, 205.3248341608903]"
2026-01-01,175.29313190787707,"[144.92612047770342, 205.66014333805072]"
2026-02-01,175.54723748485083,"[144.42828393522146, 206.6661910344802]"
2026-03-01,175.06666858793628,"[143.13317979527892, 207.00015738059363]"
2026-04-01,175.26956259520676,"[142.62080366345938, 207.91832152695414]"
2026-05-01,174.8376412195644,"[141.42330562842952, 208.2519768106993]"
2026-06-01,174.99635315571035,"[140.89908700383046, 209.09361930759025]"
2026-07-01,174.60654035100342,"[139.7859488903207, 209.42713181168614]"
2026-08-01,174.72714428204122,"[139.25250141750317, 210.20178714657928]"
2026-09-01,174.37378927127534,"[138.21273063280117, 210.53484790974952]"
2026-10-01,174.46153365080764,"[137.672475907315, 211.25059139430027]"
2026-11-01,174.13975315157595,"[136.69686039067693, 211.58264591247496]"
2026-12-01,174.19917300169598,"[136.15198024374476, 212.2463657596472]"
2027-01-01,173.90474694457572,"[135.23274000667126, 212.57675388248018]"
2027-02-01,173.93976079424982,"[134.6851627112365, 213.19435887726314]"
