date,prediction,confidence_interval
2025-03-01,488.0357634445177,"[357.51257534118673, 618.5589515478487]"
2025-04-01,652.715397047362,"[239.9648351742432, 1065.4659589204807]"
2025-05-01,876.7268877529616,"[-8.524444413359447, 1761.9782199192828]"
2025-06-01,1160.447880723532,"[-416.6698017491485, 2737.5655631962127]"
2025-07-01,1504.256021121289,"[-1009.798130386976, 4018.310172629554]"
2025-08-01,1908.528954108448,"[-1810.8093926567276, 5627.867300873624]"
2025-09-01,2373.644324847225,"[-2840.752955924677, 7588.041605619127]"
2025-10-01,2899.9797784998345,"[-4119.207297910479, 9919.166854910149]"
2025-11-01,3487.912960228493,"[-5664.5457282757625, 12640.371648732747]"
2025-12-01,4137.821515195416,"[-7494.1308363475555, 15769.77386673839]"
2026-01-01,4850.083088562819,"[-9624.461801568348, 19324.627978693985]"
2026-02-01,5625.075325492917,"[-12071.289131465766, 23321.439782451598]"
2026-03-01,6463.175871147927,"[-14849.706080726803, 27776.057823022657]"
2026-04-01,7364.762370690062,"[-17974.222881675447, 32703.747623055573]"
2026-05-01,8330.21246928154,"[-21458.82799075787, 38119.25292932095]"
2026-06-01,9359.903812084576,"[-25317.039320543172, 44036.84694471232]"
2026-07-01,10454.214044261387,"[-29561.947607643444, 50470.37569616622]"
2026-08-01,11613.520810974185,"[-34206.25350790387, 57433.295129852246]"
2026-09-01,12838.201757385192,"[-39262.29961901092, 64938.7031337813]"
2026-10-01,14128.634528656616,"[-44742.09835086553, 72999.36740817876]"
2026-11-01,15485.196769950679,"[-50657.35636003736, 81627.74989993872]"
2026-12-01,16908.26612642959,"[-57019.49611325316, 90836.02836611234]"
2027-01-01,18398.220243255568,"[-63839.675030835584, 100636.11551734671]"
2027-02-01,19955.436765590828,"[-71128.80257388853, 111039.67610507019]"
