date,prediction,confidence_interval
2025-03-01,163.04288171097542,"[119.23112246559603, 206.8546409563548]"
2025-04-01,177.742188148982,"[100.87473378434505, 254.60964251361895]"
2025-05-01,197.73215057695137,"[66.5135498285481, 328.95075132535464]"
2025-06-01,217.36558849866702,"[7.679014523237811, 427.05216247409624]"
2025-07-01,242.1972423674085,"[-65.4492587024287, 549.8437434372457]"
2025-08-01,270.7811274074656,"[-153.01019286596681, 694.572447680898]"
2025-09-01,301.4270374182746,"[-268.02746889825744, 870.8815437348067]"
2025-10-01,335.69596925082334,"[-402.09064333043415, 1073.4825818320808]"
2025-11-01,374.4137732676293,"[-557.4585193774171, 1306.286065912676]"
2025-12-01,415.38051239235034,"[-739.829558317454, 1570.5905831021546]"
2026-01-01,460.2252487856077,"[-947.3495424775531, 1867.8000400487683]"
2026-02-01,509.0431505239557,"[-1179.5780623768799, 2197.664363424791]"
2026-03-01,560.9745094609964,"[-1441.2748246237636, 2563.2238435457566]"
2026-04-01,616.4897443520613,"[-1731.4022243321751, 2964.3817130362977]"
2026-05-01,676.1307226473269,"[-2050.229055617369, 3402.4905009120225]"
2026-06-01,739.110789510908,"[-2400.4548678333967, 3878.676446855213]"
2026-07-01,805.8574529277527,"[-2782.3822416984403, 4394.097147553945]"
2026-08-01,876.6268623624452,"[-3196.0544637142875, 4949.308188439178]"
2026-09-01,951.0927036033231,"[-3643.5307563575884, 5545.716163564235]"
2026-10-01,1029.3685350363128,"[-4125.3183121795355, 6184.0553822521615]"
2026-11-01,1111.7528915497376,"[-4641.753093106152, 6865.2588762056275]"
2026-12-01,1198.0061901530846,"[-5194.235955894964, 7590.248336201133]"
2027-01-01,1288.2303472072574,"[-5783.515450928822, 8359.976145343337]"
2027-02-01,1382.6027670177598,"[-6409.982839998376, 9175.188374033896]"
