date,prediction,confidence_interval
2025-03-01,232.92763754927876,"[216.72930054979187, 249.12597454876564]"
2025-04-01,234.93876953983823,"[218.10077008467255, 251.77676899500392]"
2025-05-01,234.83704721189167,"[217.7670729561328, 251.90702146765054]"
2025-06-01,235.90707960336135,"[217.77728990251558, 254.03686930420713]"
2025-07-01,237.07861879715202,"[218.15509760703105, 256.002139987273]"
2025-08-01,237.94307447985307,"[218.40007662013258, 257.4860723395735]"
2025-09-01,238.8863641174404,"[218.6577378000344, 259.1149904348464]"
2025-10-01,239.8749382888634,"[218.98000591206778, 260.769870665659]"
2025-11-01,240.83001639754315,"[219.3095404023956, 262.3504923926907]"
2025-12-01,241.78571673591054,"[219.65155171418678, 263.9198817576343]"
2026-01-01,242.74901919172578,"[220.01518303861909, 265.4828553448325]"
2026-02-01,243.70963907307302,"[220.3936695449061, 267.0256086012399]"
2026-03-01,244.66938188653663,"[220.7853369586878, 268.55342681438543]"
2026-04-01,245.63004291352294,"[221.1906934546241, 270.06939237242176]"
2026-05-01,246.5906019452842,"[221.60845687864565, 271.57274701192273]"
2026-06-01,247.5509809347992,"[222.03762655457174, 273.06433531502665]"
2026-07-01,248.51144380111512,"[222.47766585029746, 274.5452217519328]"
2026-08-01,249.4719206482795,"[222.92792819094063, 276.0159131056184]"
2026-09-01,250.43237327241482,"[223.38779914285914, 277.4769474019705]"
2026-10-01,251.39283072219402,"[223.8567689076718, 278.9288925367162]"
2026-11-01,252.3532922089761,"[224.33436220282417, 280.372222215128]"
2026-12-01,253.31375122312568,"[224.82013600759444, 281.8073664386569]"
2027-01-01,254.27421012135932,"[225.31368882196796, 283.2347314207507]"
2027-02-01,255.23466963479362,"[225.8146511031002, 284.65468816648706]"
