date,prediction,confidence_interval
2025-03-01,153.28787256436271,"[144.19093983866088, 162.38480529006455]"
2025-04-01,151.68170857956835,"[141.47180475345328, 161.89161240568342]"
2025-05-01,151.66923563254724,"[141.07372133502318, 162.2647499300713]"
2025-06-01,151.82840195366325,"[140.86136732880993, 162.79543657851656]"
2025-07-01,152.25511014993063,"[141.02442301426922, 163.48579728559204]"
2025-08-01,152.56998707206134,"[141.0306794507711, 164.1092946933516]"
2025-09-01,153.00920193989575,"[141.2176288242493, 164.8007750555422]"
2025-10-01,153.3526263800027,"[141.27651511975455, 165.42873764025086]"
2025-11-01,153.77858031439925,"[141.4558630489908, 166.1012975798077]"
2025-12-01,154.13602203754624,"[141.54600459491454, 166.72603948017795]"
2026-01-01,154.5510275299938,"[141.72033728525417, 167.38171777473343]"
2026-02-01,154.91785765500617,"[141.83366192243162, 168.00205338758073]"
2026-03-01,155.32505754765737,"[142.00641020692615, 168.64370488838858]"
2026-04-01,155.69844267124833,"[142.13770597331956, 169.2591793691771]"
2026-05-01,156.10015577407654,"[142.31122270689278, 169.8890888412603]"
2026-06-01,156.4781384506397,"[142.45678611719114, 170.49949078408827]"
2026-07-01,156.8760004574619,"[142.632571496124, 171.11942941879983]"
2026-08-01,157.25720933259598,"[142.78971370879574, 171.7247049563962]"
2026-09-01,157.65236873907645,"[142.9686839823034, 172.3360534958495]"
2026-10-01,158.03584162128516,"[143.13542521980952, 172.9362580227608]"
2026-11-01,158.42910444399047,"[143.31810491558463, 173.5401039723963]"
2026-12-01,158.81416611743907,"[143.4929665514997, 174.13536568337844]"
2027-01-01,159.20609799099933,"[143.6796202634328, 174.73257571856584]"
2027-02-01,159.59227461638267,"[143.86148089687038, 175.32306833589496]"
