date,prediction,confidence_interval
2025-03-01,236.5560706465433,"[218.62818704417563, 254.48395424891098]"
2025-04-01,237.24492919564625,"[218.17133510929645, 256.318523281996]"
2025-05-01,237.02677112076296,"[217.15443148299053, 256.8991107585354]"
2025-06-01,237.66356214040928,"[216.7395878541589, 258.58753642665965]"
2025-07-01,237.45993174621583,"[215.77710720511374, 259.1427562873179]"
2025-08-01,238.0471722672239,"[215.38479733531477, 260.70954719913306]"
2025-09-01,237.85564765653277,"[214.46496758545453, 261.246327727611]"
2025-10-01,238.39566803812744,"[214.08267322343107, 262.7086628528238]"
2025-11-01,238.21400692990994,"[213.19690206200684, 263.231111797813]"
2025-12-01,238.70896470392483,"[212.81620435939683, 264.6017250484528]"
2026-01-01,238.53509111236414,"[211.95789925099896, 265.1122829737293]"
2026-02-01,238.9869838007106,"[211.5729533424896, 266.4010142589316]"
2026-03-01,238.81897570218115,"[210.73686280447828, 266.901088599884]"
2026-04-01,239.22965268373005,"[210.34351796964253, 268.1157873978176]"
2026-05-01,239.06573059843632,"[209.52533687457202, 268.6061243223006]"
2026-06-01,239.4369040958115,"[209.12059827059616, 269.7532099210269]"
2026-07-01,239.27542051625113,"[208.31671759819247, 270.23412343430977]"
2026-08-01,239.60867576780456,"[207.89840136088407, 271.31895017472505]"
2026-09-01,239.4481053712528,"[207.10574197975075, 271.79046876275487]"
2026-10-01,239.7449100486514,"[206.67224586524787, 272.81757423205494]"
2026-11-01,239.58384063552117,"[205.88814371539664, 273.2795375556457]"
2026-12-01,239.84555356289349,"[205.438289888679, 274.252817237108]"
2027-01-01,239.68267766713748,"[204.66041395826204, 274.7049413760129]"
2027-02-01,239.9105568935783,"[204.1933385099662, 275.6277752771904]"
