date,prediction,confidence_interval
2025-03-01,128.87693487793103,"[113.60441464666886, 144.1494551091932]"
2025-04-01,129.70093116380522,"[113.02476508167499, 146.37709724593546]"
2025-05-01,131.11785311234217,"[112.87606959782819, 149.35963662685617]"
2025-06-01,130.9675849420777,"[110.40047562361889, 151.53469426053653]"
2025-07-01,131.54664273761105,"[109.40238181736682, 153.6909036578553]"
2025-08-01,132.15506104553063,"[108.45299693239924, 155.85712515866203]"
2025-09-01,132.54753334945653,"[107.27396001721225, 157.82110668170083]"
2025-10-01,133.0594113754119,"[106.35639045948821, 159.7624322913356]"
2025-11-01,133.5688471295292,"[105.48002276710409, 161.6576714919543]"
2025-12-01,134.05117484782758,"[104.61615290518269, 163.4861967904725]"
2026-01-01,134.55452415156677,"[103.82628437358412, 165.28276392954942]"
2026-02-01,135.0584562208471,"[103.07277378061345, 167.04413866108072]"
2026-03-01,135.56110776634299,"[102.35075109130273, 168.77146444138324]"
2026-04-01,136.06926000299654,"[101.66575263196363, 170.47276737402944]"
2026-05-01,136.57958187209084,"[101.00974803205088, 172.1494157121308]"
2026-06-01,137.0920672719785,"[100.3804212569797, 173.80371328697728]"
2026-07-01,137.60765231942946,"[99.77675865197838, 175.43854598688054]"
2026-08-01,138.12580686717385,"[99.19606787460555, 177.05554585974215]"
2026-09-01,138.64657001921842,"[98.63675473239488, 178.65638530604195]"
2026-10-01,139.17006799244638,"[98.0974961246234, 180.24263986026935]"
2026-11-01,139.6962181280357,"[97.57686797956544, 181.81556827650596]"
2026-12-01,140.22503204970397,"[97.07372755034066, 183.37633654906728]"
2027-01-01,140.7565262967454,"[96.58705581976326, 184.92599677372752]"
2027-02-01,141.29068821786478,"[96.11590359142463, 186.46547284430494]"
