date,prediction,confidence_interval
2025-03-01,102.80721851316275,"[80.24318247495063, 125.37125455137488]"
2025-04-01,102.76518865161827,"[79.68493561959365, 125.8454416836429]"
2025-05-01,102.65736272211186,"[79.13983482511054, 126.17489061911317]"
2025-06-01,102.54870136941328,"[78.60593914278044, 126.49146359604612]"
2025-07-01,102.44039444776305,"[78.08270605657586, 126.79808283895025]"
2025-08-01,102.33246249323753,"[77.56959898567573, 127.09532600079933]"
2025-09-01,102.22490460534414,"[77.06612649073894, 127.38368271994933]"
2025-10-01,102.11771949494825,"[76.57183805740867, 127.66360093248782]"
2025-11-01,102.01090587019962,"[76.08631943051864, 127.9354923098806]"
2025-12-01,101.90446244359366,"[75.60918859104905, 128.19973629613827]"
2026-01-01,101.79838793208562,"[75.14009229132148, 128.45668357284976]"
2026-02-01,101.69268105707752,"[74.678703056891, 128.70665905726406]"
2026-03-01,101.5873405444028,"[74.22471658040415, 128.94996450840145]"
2026-04-01,101.48236512431096,"[73.77784944643847, 129.18688080218345]"
2026-05-01,101.37775353145219,"[73.33783713725505, 129.4176699256493]"
2026-06-01,101.27350450486222,"[72.90443227811726, 129.64257673160716]"
2026-07-01,101.16961678794706,"[72.47740308784026, 129.86183048805387]"
2026-08-01,101.06608912846787,"[72.05653200591152, 130.0756462510242]"
2026-09-01,100.96292027852583,"[71.6416144721404, 130.28422608491127]"
2026-10-01,100.86010899454715,"[71.23245783857459, 130.4877601505197]"
2026-11-01,100.75765403726807,"[70.82888039653139, 130.68642767800475]"
2026-12-01,100.6555541717199,"[70.43071050416316, 130.88039783927664]"
2027-01-01,100.55380816721413,"[70.03778580211227, 131.069830532316]"
2027-02-01,100.45241479732763,"[69.64995250659445, 131.25487708806082]"
