date,prediction,confidence_interval
2025-03-01,572.737219465773,"[-3569.862891018547, 4715.337329950093]"
2025-04-01,819.2336206424129,"[-4421.10292610079, 6059.5701673856165]"
2025-05-01,948.4787145534742,"[-4553.724921177705, 6450.682350284653]"
2025-06-01,987.4818398202267,"[-4537.608780539636, 6512.57246018009]"
2025-07-01,979.5990377449054,"[-4546.508576254649, 6505.706651744459]"
2025-08-01,957.8613163444239,"[-4575.559957248242, 6491.282589937091]"
2025-09-01,939.2729665045778,"[-4599.444949226368, 6477.990882235525]"
2025-10-01,928.7503876108015,"[-4611.653096627575, 6469.153871849177]"
2025-11-01,925.0445932915065,"[-4615.565542745293, 6465.654729328306]"
2025-12-01,925.1639867226947,"[-4615.446448237305, 6465.774421682695]"
2026-01-01,926.6091970864447,"[-4614.033596838659, 6467.251991011548]"
2026-02-01,927.9900040134332,"[-4612.682030636714, 6468.662038663581]"
2026-03-01,928.8323964148356,"[-4611.850453303386, 6469.515246133057]"
2026-04-01,929.1675053917281,"[-4611.517039994414, 6469.852050777869]"
2026-05-01,929.1958109704859,"[-4611.488745343336, 6469.880367284307]"
2026-06-01,929.1036398254465,"[-4611.581048646378, 6469.788328297271]"
2026-07-01,929.0027077199929,"[-4611.68213720711, 6469.687552647096]"
2026-08-01,928.9363066673718,"[-4611.748605541479, 6469.621218876222]"
2026-09-01,928.9070584584723,"[-4611.777866701023, 6469.591983617968]"
2026-10-01,928.9020362436306,"[-4611.782889283429, 6469.586961770689]"
2026-11-01,928.9075673921491,"[-4611.777358613833, 6469.5924933981305]"
2026-12-01,928.9148149679504,"[-4611.770111846017, 6469.599741781918]"
2027-01-01,928.9199725298237,"[-4611.764954690553, 6469.604899750201]"
2027-02-01,928.9224564477557,"[-4611.762470866218, 6469.607383761729]"
