date,prediction,confidence_interval
2025-03-01,119.83062579724694,"[111.6174660532314, 128.04378554126248]"
2025-04-01,120.04649346671533,"[110.64384391582942, 129.44914301760124]"
2025-05-01,119.85649577186226,"[109.2876190527178, 130.4253724910067]"
2025-06-01,119.81835694550769,"[108.53300350058521, 131.10371039043017]"
2025-07-01,119.86879127551686,"[108.06783578559357, 131.66974676544012]"
2025-08-01,119.97088675713213,"[107.75560065415273, 132.18617286011153]"
2025-09-01,120.10311410595004,"[107.52910608241105, 132.67712212948902]"
2025-10-01,120.25291615825189,"[107.35297834224572, 133.15285397425805]"
2025-11-01,120.41296882663644,"[107.20780011343177, 133.61813753984111]"
2025-12-01,120.57900026616616,"[107.08260941367615, 134.07539111865617]"
2026-01-01,120.74851888189269,"[106.97108273631491, 134.52595502747047]"
2026-02-01,120.92007142692215,"[106.86949816237832, 134.97064469146596]"
2026-03-01,121.09281028092363,"[106.7756149487865, 135.41000561306078]"
2026-04-01,121.26624106112682,"[106.6880453481299, 135.84443677412372]"
2026-05-01,121.440075413991,"[106.60589804821592, 136.27425277976607]"
2026-06-01,121.61414515451979,"[106.5285740658412, 136.6997162431984]"
2026-07-01,121.78835218718456,"[106.45564913541698, 137.12105523895212]"
2026-08-01,121.96263929681781,"[106.3868055184197, 137.5384730752159]"
2026-09-01,122.13697311211878,"[106.32179219315643, 137.95215403108114]"
2026-10-01,122.31133416895297,"[106.26040140922444, 138.3622669286815]"
2026-11-01,122.48571111467533,"[106.20245471569177, 138.76896751365888]"
2026-12-01,122.66009732774566,"[106.14779449837923, 139.1724001571121]"
2027-01-01,122.83448894608648,"[106.09627873897811, 139.57269915319483]"
2027-02-01,123.00888371710369,"[106.04777767279063, 139.96998976141674]"
