date,prediction,confidence_interval
2025-03-01,231.50068198822464,"[225.31168165361257, 237.68968232283672]"
2025-04-01,230.38523523086033,"[221.76381313526912, 239.00665732645155]"
2025-05-01,231.3680704936446,"[220.76121466813643, 241.9749263191528]"
2025-06-01,230.25723306550225,"[218.07459691761343, 242.43986921339106]"
2025-07-01,231.23568027169725,"[217.5804149098867, 244.89094563350778]"
2025-08-01,230.12943268982286,"[215.22091509178694, 245.0379502878588]"
2025-09-01,231.10351093743725,"[214.97319315630986, 247.23382871856464]"
2025-10-01,230.0018338019628,"[212.8009175453668, 247.2027500585588]"
2025-11-01,230.97156210665472,"[212.70495846502712, 249.2381657482823]"
2025-12-01,229.8744361004425,"[210.65881040160764, 249.09006179927735]"
2026-01-01,230.83983339587328,"[210.66777302888946, 251.0118937628571]"
2026-02-01,229.74723928416202,"[208.7146235306899, 250.77985503763415]"
2026-03-01,230.70832442234868,"[208.80130366532677, 252.6153451793706]"
2026-04-01,229.62024305240095,"[206.92081009652162, 252.31967600828028]"
2026-05-01,230.5770348040669,"[207.06775584313928, 254.08631376499451]"
2026-06-01,229.49344710481824,"[205.24636408676162, 253.74053012287487]"
2026-07-01,230.4459641597427,"[205.44159044139423, 255.45033787809115]"
2026-08-01,229.366851141452,"[203.6697301226275, 255.0639721602765]"
2026-09-01,230.31511210881777,"[203.90458677411004, 256.7256374435255]"
2026-10-01,229.24045486271942,"[202.17520032004506, 256.30570940539377]"
2026-11-01,230.18447827145928,"[202.44320231577473, 257.92575422714384]"
2026-12-01,229.11425796941657,"[200.7509062205134, 257.47760971831974]"
2027-01-01,230.0540622685581,"[201.0470442159156, 259.0610803212006]"
2027-02-01,228.98826016271832,"[199.38761918608463, 258.588901139352]"
