date,prediction,confidence_interval
2025-03-01,146.9630199953415,"[133.710880519749, 160.21515947093403]"
2025-04-01,152.01651676518435,"[128.3883598834813, 175.6446736468874]"
2025-05-01,157.28224269965753,"[121.33115032380132, 193.23333507551374]"
2025-06-01,162.2992194322635,"[112.238920230938, 212.359518633589]"
2025-07-01,167.8368932002566,"[101.78016902722477, 233.89361737328846]"
2025-08-01,173.41753350998547,"[90.30670844792087, 256.5283585720501]"
2025-09-01,179.3066140436842,"[77.483955685244, 281.1292724021244]"
2025-10-01,185.29810923602662,"[63.722141775570535, 306.8740766964827]"
2025-11-01,191.6103009265481,"[48.87307124617675, 334.34753060691946]"
2025-12-01,198.03171669002523,"[33.13455042858507, 362.9288829514654]"
2026-01-01,204.76273697047026,"[16.43324941396625, 393.0922245269743]"
2026-02-01,211.62928081720298,"[-1.0907667966255303, 424.3493284310315]"
2026-03-01,218.79329432973097,"[-19.487266172792175, 457.07385483225414]"
2026-04-01,226.11295253783754,"[-38.65773835743187, 490.88364343310695]"
2026-05-01,233.72305310995176,"[-58.62934500159605, 526.0754512214996]"
2026-06-01,241.50609380081082,"[-79.33337377205427, 562.3455613736759]"
2026-07-01,249.574415415016,"[-100.7827819616387, 599.9316127916707]"
2026-08-01,257.8311854554734,"[-122.92825377114394, 638.5906246820907]"
2026-09-01,266.3698991610983,"[-145.77371658414518, 678.5135149063418]"
2026-10-01,275.11084010174767,"[-169.28325055507094, 719.5049307585663]"
2026-11-01,284.13194865679264,"[-193.45489527570618, 761.7187925892915]"
2026-12-01,293.36766354793485,"[-218.26205855650812, 804.9973856523778]"
2027-01-01,302.88303729305534,"[-243.69908184521245, 849.4651564313231]"
2027-02-01,312.6242412848512,"[-269.7458952488719, 894.9943778185743]"
