date,prediction,confidence_interval
2025-03-01,195.84376488634427,"[166.64494732081326, 225.0425824518753]"
2025-04-01,192.84237406190678,"[163.52756683339592, 222.15718129041764]"
2025-05-01,198.9100049475824,"[169.5804460187975, 228.2395638763673]"
2025-06-01,196.23659251666544,"[166.79418149330732, 225.67900354002356]"
2025-07-01,202.033317219787,"[172.5736598033488, 231.4929746362252]"
2025-08-01,199.66774497767756,"[170.09804512453124, 229.23744483082388]"
2025-09-01,205.2130245319217,"[175.6235514529032, 234.80249761094018]"
2025-10-01,203.1364858452997,"[173.4394850656405, 232.83348662495888]"
2025-11-01,208.44849448861865,"[178.7291792952474, 238.1678096819899]"
2025-12-01,206.64342624985474,"[176.81883229482517, 236.4680202048843]"
2026-01-01,211.73913650953742,"[181.8896874753075, 241.58858554376732]"
2026-02-01,210.18913691271828,"[180.23641803569518, 240.14185578974138]"
2026-03-01,215.08439906448615,"[185.1042973419799, 245.0645007869924]"
2026-04-01,213.77415081822485,"[183.69257102148484, 243.85573061496487]"
2026-05-01,218.4837670913612,"[188.37229980922677, 248.5952343734956]"
2026-06-01,217.39896570890346,"[187.18761531040434, 247.61031610740258]"
2026-07-01,221.93675958481674,"[191.69304856777688, 252.1804706018566]"
2026-08-01,221.0640464157242,"[190.72186856219957, 251.4062242692488]"
2026-09-01,225.4429273443759,"[195.0659540413778, 255.819900647374]"
2026-10-01,224.7698270342648,"[194.2956407003101, 255.24401336821953]"
2026-11-01,229.00185087143996,"[198.49047799631012, 259.5132237465698]"
2026-12-01,228.51671295698569,"[197.909232895935, 259.12419301803635]"
2027-01-01,232.61313840535115,"[201.96612872532214, 263.2601480853802]"
2027-02-01,232.30508277112747,"[201.56293682026802, 263.0472287219869]"
