date,prediction,confidence_interval
2025-03-01,196.93330018355655,"[186.87185401580746, 206.99474635130565]"
2025-04-01,197.53170420438286,"[184.993512865544, 210.06989554322172]"
2025-05-01,199.82896064809387,"[184.70413973969517, 214.95378155649257]"
2025-06-01,201.4270471476792,"[184.4901366443505, 218.36395765100787]"
2025-07-01,203.43616840310074,"[184.67194945456416, 222.20038735163732]"
2025-08-01,205.23977609479365,"[184.86347298998822, 225.61607919959908]"
2025-09-01,207.16466272925953,"[185.23763812362645, 229.0916873348926]"
2025-10-01,209.04626225339155,"[185.674288604156, 232.4182359026271]"
2025-11-01,210.97115475934396,"[186.21391994289004, 235.72838957579788]"
2025-12-01,212.89382232474512,"[186.81484916815538, 238.97279548133486]"
2026-01-01,214.83777780812116,"[187.48456367134622, 242.1909919448961]"
2026-02-01,216.79076579423344,"[188.20787112294119, 245.3736604655257]"
2026-03-01,218.75919168731807,"[188.98395092081535, 248.53443245382078]"
2026-04-01,220.73972449282246,"[189.80601797068624, 251.67343101495868]"
2026-05-01,222.7340988034241,"[190.6716970506782, 254.79650055617]"
2026-06-01,224.7414100907457,"[191.57726481652224, 257.90555536496913]"
2026-07-01,226.76212944572592,"[192.5204784942518, 261.00378039720005]"
2026-08-01,228.79601150480298,"[193.49893000285812, 264.09309300674784]"
2026-09-01,230.84318412539216,"[194.5107943032392, 267.1755739475451]"
2026-10-01,232.90358069923317,"[195.55434619505462, 270.2528152034117]"
2026-11-01,234.97723592400806,"[196.62814406828835, 273.32632777972776]"
2026-12-01,237.0641317223937,"[197.73087821180602, 276.3973852329814]"
2027-01-01,239.164277512193,"[198.8614062192598, 279.46714880512616]"
2027-02-01,241.27766838716343,"[200.01869879590208, 282.5366379784248]"
