date,prediction,confidence_interval
2025-03-01,105.0648832922934,"[80.36126370088917, 129.76850288369764]"
2025-04-01,102.35537491596163,"[76.26703446068647, 128.4437153712368]"
2025-05-01,104.33399820086225,"[76.67020894556316, 131.99778745616135]"
2025-06-01,102.96417320183345,"[73.46128426843951, 132.46706213522737]"
2025-07-01,103.2768243867203,"[73.32337011457427, 133.23027865886633]"
2025-08-01,103.4514314030458,"[72.76870862866181, 134.1341541774298]"
2025-09-01,103.26804104038129,"[72.23469190170414, 134.30139017905844]"
2025-10-01,103.62328599126772,"[72.34212853384216, 134.90444344869329]"
2025-11-01,103.70335564242434,"[72.20616706002981, 135.20054422481888]"
2025-12-01,103.93376961886051,"[72.31502992392694, 135.55250931379408]"
2026-01-01,104.20033663591549,"[72.47729575363215, 135.92337751819883]"
2026-02-01,104.43524739177867,"[72.64037517760718, 136.23011960595016]"
2026-03-01,104.73836111233172,"[72.89157060199277, 136.58515162267068]"
2026-04-01,105.02956086697017,"[73.14180607034218, 136.91731566359817]"
2026-05-01,105.34069754004211,"[73.42371426888636, 137.25768081119787]"
2026-06-01,105.66578992060914,"[73.72588951555187, 137.60569032566642]"
2026-07-01,105.9931931153595,"[74.0358347006092, 137.9505515301098]"
2026-08-01,106.3324492157266,"[74.3617048773134, 138.3031935541398]"
2026-09-01,106.67534527986986,"[74.69401585026661, 138.65667470947312]"
2026-10-01,107.02334808357323,"[75.0337934950858, 139.01290267206065]"
2026-11-01,107.37589542761066,"[75.37979987327579, 139.37199098194552]"
2026-12-01,107.73103951945546,"[75.72973869173265, 139.73234034717828]"
2027-01-01,108.08931619519518,"[76.08386194555436, 140.094770444836]"
2027-02-01,108.44965450466484,"[76.44085006031169, 140.458458949018]"
