date,prediction,confidence_interval
2025-03-01,198.5560273123833,"[193.38487021215573, 203.72718441261085]"
2025-04-01,199.79650457497286,"[193.37438184388466, 206.21862730606105]"
2025-05-01,201.04594221356803,"[193.53685547347996, 208.5550289536561]"
2025-06-01,202.30437630060692,"[193.80816697343622, 210.80058562777762]"
2025-07-01,203.57184290852763,"[194.1560042673602, 212.98768154969505]"
2025-08-01,204.8483781097683,"[194.56145632998397, 215.13529988955264]"
2025-09-01,206.134017976767,"[195.01236798559373, 217.2556679679403]"
2025-10-01,207.42879858196193,"[195.5004043221588, 219.35719284176506]"
2025-11-01,208.73275599779114,"[196.01957197299632, 221.44594002258597]"
2025-12-01,210.04592629669278,"[196.5654014563753, 223.52645113701027]"
2026-01-01,211.36834555110494,"[197.13446222800795, 225.60222887420193]"
2026-02-01,212.70004983346576,"[197.7240588700278, 227.67604079690372]"
2026-03-01,214.04107521621333,"[198.3320321820151, 229.75011825041156]"
2026-04-01,215.3914577717858,"[198.95662414092334, 231.82629140264828]"
2026-05-01,216.75123357262126,"[199.59638339050028, 233.90608375474224]"
2026-06-01,218.12043869115783,"[200.25009736178734, 235.99078002052832]"
2026-07-01,219.49910919983364,"[200.91674242112407, 238.0814759785432]"
2026-08-01,220.8872811710868,"[201.59544653979756, 240.17911580237606]"
2026-09-01,222.28499067735547,"[202.2854608588298, 242.28452049588114]"
2026-10-01,223.6922737910777,"[202.98613769918268, 244.39840988297271]"
2026-11-01,225.1091665846916,"[203.69691332525852, 246.52141984412467]"
2026-12-01,226.53570513063536,"[204.4172942694328, 248.65411599183793]"
2027-01-01,227.97192550134704,"[205.1468463624717, 250.79700464022238]"
2027-02-01,229.41786376926478,"[205.885185846565, 252.95054169196456]"
