date,prediction,confidence_interval
2025-03-01,139.48564313692245,"[117.57719908367312, 161.39408719017177]"
2025-04-01,137.02606739408796,"[114.08966671030373, 159.9624680778722]"
2025-05-01,137.5893542388297,"[111.1542470315762, 164.02446144608322]"
2025-06-01,138.50180094903553,"[109.6439387322853, 167.35966316578575]"
2025-07-01,138.61033829950642,"[107.55524794232744, 169.6654286566854]"
2025-08-01,139.2086223598317,"[105.9747666223768, 172.4424780972866]"
2025-09-01,139.61865035248007,"[104.41708669930883, 174.82021400565134]"
2025-10-01,140.06738544214713,"[102.97354539443472, 177.16122548985953]"
2025-11-01,140.52446854750073,"[101.63645347358853, 179.41248362141295]"
2025-12-01,140.96858221130867,"[100.36645954669646, 181.57070487592088]"
2026-01-01,141.4200913131197,"[99.17172613107655, 183.66845649516287]"
2026-02-01,141.86891221681665,"[98.03702175014516, 185.70080268348815]"
2026-03-01,142.31821095120344,"[96.95770275953852, 187.67871914286837]"
2026-04-01,142.7676805694235,"[95.92847972138765, 189.60688141745936]"
2026-05-01,143.2169432741541,"[94.94434024669543, 191.48954630161273]"
2026-06-01,143.66631694411774,"[94.0016426073331, 193.33099128090237]"
2026-07-01,144.11565257192885,"[93.09688818582855, 195.13441695802914]"
2026-08-01,144.564993786955,"[92.22715660603423, 196.9028309678758]"
2026-09-01,145.01433823099023,"[91.38986612545526, 198.6388103365252]"
2026-10-01,145.4636794061868,"[90.5827283812318, 200.3446304311418]"
2026-11-01,145.91302223583628,"[89.80372178310023, 202.02232268857233]"
2026-12-01,146.36236453252587,"[89.051035890181, 203.67369317487075]"
2027-01-01,146.81170688889335,"[88.32304824129696, 205.30036553648975]"
2027-02-01,147.2610493033323,"[87.61829627161924, 206.90380233504536]"
