date,prediction,confidence_interval
2025-03-01,107.34758757938683,"[60.93844474419445, 153.7567304145792]"
2025-04-01,99.88976159336467,"[48.71426630414908, 151.06525688258026]"
2025-05-01,95.32987233822196,"[42.24743581710793, 148.412308859336]"
2025-06-01,92.55554549845056,"[38.80514964953517, 146.30594134736594]"
2025-07-01,90.86562186825495,"[36.867678548299935, 144.86356518820998]"
2025-08-01,89.83652421582566,"[35.74722895123432, 143.925819480417]"
2025-09-01,89.2098028327471,"[35.086652007767995, 143.3329536577262]"
2025-10-01,88.82813487141982,"[34.692434623662976, 142.96383511917668]"
2025-11-01,88.59570149405458,"[34.45534763211177, 142.7360553559974]"
2025-12-01,88.45415115875014,"[34.31207150968225, 142.59623080781802]"
2026-01-01,88.3679479559965,"[34.22522827255469, 142.5106676394383]"
2026-02-01,88.31545078750852,"[34.172493734737586, 142.45840784027945]"
2026-03-01,88.28348036595672,"[34.14043527961962, 142.42652545229382]"
2026-04-01,88.26401059490361,"[34.12093285934975, 142.40708833045747]"
2026-05-01,88.25215363566731,"[34.109063791412495, 142.39524347992213]"
2026-06-01,88.24493282747568,"[34.10183849243392, 142.38802716251743]"
2026-07-01,88.24053540399609,"[34.09743940344377, 142.3836314045484]"
2026-08-01,88.23785740276057,"[34.09476078451573, 142.3809540210054]"
2026-09-01,88.23622651807304,"[34.093129670742854, 142.37932336540322]"
2026-10-01,88.23523332029971,"[34.09213638800801, 142.3783302525914]"
2026-11-01,88.23462846955555,"[34.09153150575392, 142.37772543335717]"
2026-12-01,88.23426011953246,"[34.09116314404467, 142.37735709502027]"
2027-01-01,88.23403579685318,"[34.0909388170313, 142.37713277667507]"
2027-02-01,88.2338991858547,"[34.09080220442543, 142.37699616728395]"
