date,prediction,confidence_interval
2025-03-01,402.59315359289576,"[330.70386974784986, 474.48243743794166]"
2025-04-01,404.24336609483896,"[328.5795682886692, 479.90716390100874]"
2025-05-01,405.89357859678216,"[326.6348158941491, 485.15234129941524]"
2025-06-01,407.54379109872536,"[324.8461936012668, 490.2413885961839]"
2025-07-01,409.19400360066857,"[323.19496989359124, 495.1930373077459]"
2025-08-01,410.84421610261177,"[321.6658837272506, 500.0225484779729]"
2025-09-01,412.49442860455497,"[320.2463059572634, 504.7425512518465]"
2025-10-01,414.14464110649817,"[318.9256445845378, 509.36363762845855]"
2025-11-01,415.7948536084414,"[317.69491239873184, 513.8947948181509]"
2025-12-01,417.4450661103846,"[316.5464059010051, 518.3437263197641]"
2026-01-01,419.0952786123278,"[315.4734623826014, 522.7170948420542]"
2026-02-01,420.745491114271,"[314.47027309310414, 527.0207091354379]"
2026-03-01,422.3957036162142,"[313.53173743756577, 531.2596697948626]"
2026-04-01,424.0459161181574,"[312.6533476997693, 535.4384845365455]"
2026-05-01,425.6961286201006,"[311.831096825679, 539.5611604145222]"
2026-06-01,427.3463411220438,"[311.06140386771153, 543.631278376376]"
2026-07-01,428.996553623987,"[310.34105312382746, 547.6520541241465]"
2026-08-01,430.6467661259302,"[309.6671440169043, 551.6263882349562]"
2026-09-01,432.2969786278734,"[309.0370494848544, 555.5569077708924]"
2026-10-01,433.9471911298166,"[308.4483811791185, 559.4460010805146]"
2026-11-01,435.5974036317598,"[307.89896015753106, 563.2958471059885]"
2026-12-01,437.247616133703,"[307.38679204714424, 567.1084402202617]"
2027-01-01,438.8978286356462,"[306.91004587095426, 570.8856114003381]"
2027-02-01,440.5480411375894,"[306.4670358988201, 574.6290463763587]"
