date,prediction,confidence_interval
2025-03-01,100.132915814868,"[80.46154444854203, 119.80428718119397]"
2025-04-01,89.31995481318106,"[56.93610341722123, 121.70380620914088]"
2025-05-01,79.58211175250163,"[27.174124441871243, 131.99009906313202]"
2025-06-01,69.01596500773653,"[-3.527670061468541, 141.5596000769416]"
2025-07-01,58.93922737536193,"[-37.557508583794835, 155.4359633345187]"
2025-08-01,48.43966428206724,"[-73.15046299877716, 170.02979156291164]"
2025-09-01,38.14880326478506,"[-111.06276252348017, 187.3603690530503]"
2025-10-01,27.629446434318112,"[-150.61154069371767, 205.8704335623539]"
2025-11-01,17.184259918650223,"[-192.02905914701878, 226.3975789843192]"
2025-12-01,6.603712090817422,"[-235.01854686222615, 248.225971043861]"
2026-01-01,-3.967141165356666,"[-279.63300671594396, 271.6987243852306]"
2026-02-01,-14.628720057249478,"[-325.72620081828615, 296.46876070378715]"
2026-03-01,-25.31150504670847,"[-373.2902974828049, 322.6672873893879]"
2026-04-01,-36.063623560584865,"[-422.242282909378, 350.1150357882083]"
2026-05-01,-46.85175763853438,"[-472.5556716850537, 378.852156407985]"
2026-06-01,-57.69897284948791,"[-524.1762814962934, 408.77833579731765]"
2026-07-01,-68.58930121507558,"[-577.0739373766446, 439.8953349464934]"
2026-08-01,-79.53379714865196,"[-631.2089913646942, 472.14139706739024]"
2026-09-01,-90.52480783081919,"[-686.5525961463646, 505.5029804847262]"
2026-10-01,-101.56763120393366,"[-743.0733285455018, 539.9380661376346]"
2026-11-01,-112.65859957485479,"[-800.745062823285, 575.4278636735755]"
2026-12-01,-123.800252037455,"[-859.5416010534457, 611.9410969785356]"
2027-01-01,-134.9908308117222,"[-919.4396632646564, 649.458001641212]"
2027-02-01,-146.2315527847532,"[-980.4167139976462, 687.9536084281399]"
