date,prediction,confidence_interval
2025-03-01,112.29184529760965,"[88.27028597289407, 136.31340462232524]"
2025-04-01,108.34961116953045,"[82.93521629983648, 133.7640060392244]"
2025-05-01,107.26380307467585,"[81.31063248864855, 133.21697366070313]"
2025-06-01,106.25070379350144,"[79.83744416418207, 132.6639634228208]"
2025-07-01,105.30544453601401,"[78.49807917213549, 132.1128098998925]"
2025-08-01,104.42348254031512,"[77.27768342596055, 131.56928165466968]"
2025-09-01,103.60057924082798,"[76.16355258914191, 131.03760589251405]"
2025-10-01,102.83277989844224,"[75.14471666834807, 130.52084312853643]"
2025-11-01,102.11639459468252,"[74.21162812618981, 130.0211610631752]"
2025-12-01,101.44798049856172,"[73.35592228110724, 129.5400387160162]"
2026-01-01,100.82432532089655,"[72.57022956662189, 129.0784210751712]"
2026-02-01,100.24243187656936,"[71.84802588900268, 128.63683786413603]"
2026-03-01,99.69950368054506,"[71.18351156857155, 128.21549579251857]"
2026-04-01,99.19293150841995,"[70.57151213105722, 127.81435088578267]"
2026-05-01,98.7202808569145,"[70.00739608299592, 127.43316563083307]"
2026-06-01,98.27928024404754,"[69.48700608765063, 127.07155440044446]"
2026-07-01,97.86781029276409,"[69.00660085660367, 126.72901972892451]"
2026-08-01,97.48389354555476,"[68.56280571364492, 126.40498137746461]"
2026-09-01,97.12568496111733,"[68.15257025325607, 126.09879966897859]"
2026-10-01,96.79146304738894,"[67.77313185936936, 125.80979423540853]"
2026-11-01,96.47962158833599,"[67.42198410695796, 125.53725906971401]"
2026-12-01,96.18866192474164,"[67.09684926378581, 125.28047458569746]"
2027-01-01,95.91718575189392,"[66.79565425918466, 125.03871724460319]"
2027-02-01,95.6638883995613,"[66.51650960289255, 124.81126719623005]"
