date,prediction,confidence_interval
2025-03-01,577.6409232490317,"[375.57322958175223, 779.7086169163113]"
2025-04-01,616.0215075621134,"[-22.97264596367222, 1255.015661087899]"
2025-05-01,658.8929109142789,"[-711.596866466283, 2029.3826882948408]"
2025-06-01,706.1642564746724,"[-1735.4289758852913, 3147.757488834636]"
2025-07-01,757.744667412437,"[-3134.3539821221575, 4649.843316947032]"
2025-08-01,813.543266896717,"[-4944.499672600953, 6571.586206394387]"
2025-09-01,873.4691780966557,"[-7199.128861390109, 8946.06721758342]"
2025-10-01,937.4315241813971,"[-9929.227224810727, 11804.09027317352]"
2025-11-01,1005.3394283200847,"[-13163.914674690224, 15174.593531330394]"
2025-12-01,1077.1020136818624,"[-16930.746389953572, 19084.950417317297]"
2026-01-01,1152.628403435874,"[-21255.94087328767, 23561.197680159414]"
2026-02-01,1231.827720751263,"[-26164.55758116432, 28628.213022666845]"
2026-03-01,1314.6090887971732,"[-31680.638453033338, 34309.856630627684]"
2026-04-01,1400.8816307427483,"[-37827.322830224126, 40629.08609170962]"
2026-05-01,1490.5544697571322,"[-44626.94227385652, 47608.05121337078]"
2026-06-01,1583.5367290094687,"[-52101.09987896404, 55268.173336982974]"
2026-07-01,1679.7375316689013,"[-60270.73741394796, 63630.21247728576]"
2026-08-01,1779.0660009045737,"[-69156.19274898991, 72714.32475079905]"
2026-09-01,1881.4312598856297,"[-78777.24943141607, 82540.11195118734]"
2026-10-01,1986.7424317812133,"[-89153.17983283543, 93126.66469639786]"
2026-11-01,2094.908639760468,"[-100302.78297700669, 104492.60025652763]"
2026-12-01,2205.839006992538,"[-112244.41792305908, 116656.09593704416]"
2027-01-01,2319.4426566465663,"[-124996.0334021456, 129634.91871543873]"
2027-02-01,2435.6287118916966,"[-138575.19427073645, 143446.45169451987]"
