date,prediction,confidence_interval
2025-03-01,113.85517839076522,"[93.52162580693081, 134.18873097459962]"
2025-04-01,121.18501181690964,"[99.32206441093135, 143.04795922288793]"
2025-05-01,120.56093591860581,"[98.00997459313143, 143.11189724408018]"
2025-06-01,118.78093520688648,"[92.28522686150603, 145.27664355226693]"
2025-07-01,121.78495910915431,"[93.28221169640435, 150.28770652190428]"
2025-08-01,122.36001072546746,"[92.51817927751328, 152.20184217342165]"
2025-09-01,121.90983035067484,"[89.64759192500247, 154.1720687763472]"
2025-10-01,123.30096200127649,"[88.99096738156848, 157.6109566209845]"
2025-11-01,124.02549769469914,"[87.99573193506887, 160.0552634543294]"
2025-12-01,124.1566393415174,"[86.01579231567237, 162.29748636736244]"
2026-01-01,124.94921096835664,"[84.72741273575919, 165.17100920095407]"
2026-02-01,125.58623039280761,"[83.39866579655067, 167.77379498906453]"
2026-03-01,125.92557840123388,"[81.60606922342748, 170.24508757904027]"
2026-04-01,126.47954335319248,"[79.97477108656703, 172.98431561981795]"
2026-05-01,127.00407773880187,"[78.32020062679878, 175.68795485080494]"
2026-06-01,127.38590879064284,"[76.42234596289533, 178.34947161839034]"
2026-07-01,127.82248069154075,"[74.50210813208324, 181.14285325099826]"
2026-08-01,128.25041233497234,"[72.52501808918049, 183.97580658076419]"
2026-09-01,128.6073480224559,"[70.3884299027869, 186.82626614212492]"
2026-10-01,128.96546683810757,"[68.16469999982576, 189.7662336763894]"
2026-11-01,129.3128285828939,"[65.85305393067034, 192.77260323511746]"
2026-12-01,129.62003502434345,"[63.40816882985722, 195.83190121882967]"
2027-01-01,129.91212934072414,"[60.8506773406709, 198.97358134077737]"
2027-02-01,130.18937726242584,"[58.183614608713725, 202.19513991613795]"
