date,prediction,confidence_interval
2025-03-01,157.91029726868416,"[144.93944954493756, 170.88114499243076]"
2025-04-01,155.07402093412338,"[140.88125098871433, 169.26679087953244]"
2025-05-01,151.3088653893305,"[136.62012948430552, 165.99760129435546]"
2025-06-01,150.90809727325677,"[136.18658072287977, 165.62961382363378]"
2025-07-01,151.21715698319375,"[136.48456222219076, 165.94975174419673]"
2025-08-01,152.1503287323695,"[137.4110179549575, 166.88963950978152]"
2025-09-01,152.98790317382142,"[138.23226752262138, 167.74353882502146]"
2025-10-01,153.74752739670947,"[138.9684302172589, 168.52662457616003]"
2025-11-01,154.39649807714943,"[139.58881734405531, 169.20417881024355]"
2025-12-01,155.00715862658208,"[140.16999887187498, 169.84431838128918]"
2026-01-01,155.60401578908676,"[140.73769319000752, 170.470338388166]"
2026-02-01,156.20566204376172,"[141.31090344582626, 171.10042064169718]"
2026-03-01,156.81274223784104,"[141.88999248220946, 171.7354919934726]"
2026-04-01,157.42393319802247,"[142.47341548885652, 172.37445090718842]"
2026-05-01,158.03657813185487,"[143.0583618622269, 173.01479440148285]"
2026-06-01,158.64945133386644,"[143.64356137658774, 173.65534129114513]"
2026-07-01,159.26203535493488,"[144.22849359780443, 174.29557711206533]"
2026-08-01,159.8743498943022,"[144.81319164731403, 174.9355081412904]"
2026-09-01,160.48651035105473,"[145.3977810634122, 175.57523963869727]"
2026-10-01,161.09862458368247,"[145.9823748313549, 176.21487433601004]"
2026-11-01,161.71074125240412,"[146.56702260948256, 176.85445989532568]"
2026-12-01,162.32287371326788,"[147.15173714867413, 177.49401027786163]"
2027-01-01,162.93501804131463,"[147.73651358142774, 178.13352250120153]"
2027-02-01,163.5471679058116,"[148.32134487149693, 178.77299094012625]"
