date,prediction,confidence_interval
2025-03-01,234.4521427569987,"[217.38529611779646, 251.51898939620096]"
2025-04-01,227.00134513536122,"[209.26254588244518, 244.74014438827726]"
2025-05-01,235.91604055186508,"[217.10923673590142, 254.72284436782874]"
2025-06-01,228.78885334141606,"[209.3632431810994, 248.21446350173272]"
2025-07-01,237.38633740223105,"[216.98917758032246, 257.78349722413964]"
2025-08-01,230.5700890265631,"[209.59476610119242, 251.54541195193377]"
2025-09-01,238.86278274100147,"[216.9920794207254, 260.7334860612776]"
2025-10-01,232.34529780319673,"[209.92877707674887, 254.7618185296446]"
2025-11-01,240.34513581250866,"[217.0953688138882, 263.59490281112915]"
2025-12-01,234.11471566629456,"[210.34565060224503, 257.8837807303441]"
2026-01-01,241.8331652883275,"[217.2827901829216, 266.3835403937334]"
2026-02-01,235.87856937000538,"[210.83114723530824, 260.9259915047025]"
2026-03-01,243.326648898134,"[217.5421607552337, 269.11113704103434]"
2026-04-01,237.6370767894914,"[211.37456063797038, 263.89959294101243]"
2026-05-01,244.82537307501818,"[217.86405893704205, 271.7866872129943]"
2026-06-01,239.39044726860155,"[211.9676109745827, 266.81328356262037]"
2026-07-01,246.32913261468542,"[218.24101139470397, 274.41725383466684]"
2026-08-01,241.13888195393136,"[212.6037471238834, 269.6740167839793]"
2026-09-01,247.83773034800262,"[218.66696489636286, 277.0084957996424]"
2026-10-01,242.8825741158017,"[213.27768699609283, 272.4874612355106]"
2026-11-01,249.35097682636615,"[219.13692966727137, 279.5650239854609]"
2026-12-01,244.6217094566693,"[213.9851036002352, 275.25831531310337]"
2027-01-01,250.86869001939007,"[219.6467306846139, 282.0906493541662]"
2027-02-01,246.35646640746074,"[214.72240407835812, 277.99052873656336]"
