date,prediction,confidence_interval
2025-03-01,129.67842111210985,"[66.68395122545785, 192.67289099876183]"
2025-04-01,124.35182788843375,"[48.83136181235953, 199.87229396450795]"
2025-05-01,128.52397669416533,"[38.448048899583966, 218.5999044887467]"
2025-06-01,125.22307565556062,"[22.579201835717, 227.86694947540423]"
2025-07-01,126.00999098768605,"[0.5194731502621579, 251.50050882510993]"
2025-08-01,123.85093228775756,"[-21.743657518696068, 269.4455220942112]"
2025-09-01,124.58975056796102,"[-42.8596516446555, 292.0391527805775]"
2025-10-01,123.26598862405955,"[-65.65106573857379, 312.1830429866929]"
2025-11-01,123.18001127957668,"[-90.35755943720837, 336.71758199636173]"
2025-12-01,122.14782225464944,"[-116.35346528790046, 360.64910979719934]"
2026-01-01,121.98919650388794,"[-142.80586484794995, 386.78425785572585]"
2026-02-01,121.26196287392801,"[-170.35948531449972, 412.8834110623558]"
2026-03-01,120.92863217881553,"[-198.9843920609905, 440.84165641862154]"
2026-04-01,120.3118097669545,"[-228.70593225242365, 469.3295517863327]"
2026-05-01,119.96725118719148,"[-259.22337505123676, 499.15787742561974]"
2026-06-01,119.47545392339087,"[-290.6897325450389, 529.6406403918206]"
2026-07-01,119.12206786145745,"[-323.053046936976, 561.2971826598908]"
2026-08-01,118.69859444689538,"[-356.35529123070796, 593.7524801244988]"
2026-09-01,118.37293521032954,"[-390.4954274112377, 627.2412978318968]"
2026-10-01,118.02283122648643,"[-425.5081876643969, 661.5538501173698]"
2026-11-01,117.73432899059341,"[-461.36140027657746, 696.8300582577643]"
2026-12-01,117.44409816640123,"[-498.0692122690407, 732.9574086018431]"
2027-01-01,117.20284587710586,"[-535.5953517625046, 770.0010435167164]"
2027-02-01,116.9750874407406,"[-573.9444499156937, 807.8946247971749]"
